sample,observations,mean_eur,volatility_eur,skewness,excess_kurtosis,jarque_bera_statistic,jarque_bera_p_value,reject_normality_at_5_percent
Full sample,2654,244.59131445445226,4417.580767947445,-0.2486477941077961,6.0924313955920955,4113.436130236832,0.0,True
Most recent 250 days,250,320.83422035022727,4598.941490683749,-0.42825399248149465,1.3300159976672878,24.607747211031214,4.5341469056272285e-06,True
