date,actual_pnl_eur,mc_volatility_eur,mc_var_eur,mc_es_eur,mc_exception
2016-12-30,1654.6116556362012,3356.3167216819147,7865.566793900665,9020.11908450699,False
2017-01-03,2194.1066211462858,3356.9883788257557,7867.1408301331085,9021.92416666216,False
2017-01-04,2403.266441930962,3358.1029240486628,7869.7527796666445,9024.919512891182,False
2017-01-05,8378.931017735753,3355.5238328627297,7863.7086498443705,9017.988191577959,False
2017-01-06,-965.6878864533036,3395.0026915595517,7956.227808724945,9124.087834816428,False
2017-01-09,1420.9026607935048,3384.7275156811033,7932.147816014808,9096.473244858596,False
2017-01-10,1519.8296909485043,3376.8650166162697,7913.721959133685,9075.342736701105,False
2017-01-11,1497.0796939716258,3372.298211406803,7903.019598662831,9063.069423351675,False
2017-01-12,109.74824849854792,3372.9791094808347,7904.615291121334,9064.899340556001,False
2017-01-13,-97.59417945348632,3372.9878093084176,7904.635679267216,9064.922721389015,False
2017-01-17,4152.76998823188,3372.9963599830403,7904.655717871423,9064.945701372653,False
2017-01-18,-2789.381500397048,3379.546177919586,7920.005291448607,9082.548371999006,False
2017-01-19,-4404.867330015872,3383.941510458548,7930.3058037462915,9094.360851632207,False
2017-01-20,1286.7718665138138,3392.2445568542453,7949.764088358205,9116.675333090277,False
2017-01-23,4329.287418059768,3390.5079106074504,7945.6942379286265,9112.008087042681,False
2017-01-24,-248.23649961142064,3378.8937332203777,7918.476279800869,9080.794923391222,False
2017-01-25,-3433.9271506367404,3376.0141365848713,7911.727912005377,9073.055992080055,False
2017-01-26,-207.6888795625564,3383.7364733837285,7929.82529700603,9093.809813400429,False
2017-01-27,-289.6930478464287,3329.4045241135022,7802.497749737598,8947.792410053213,False
2017-01-30,-1238.2224020792312,3327.8267279961324,7798.800166411162,8943.552074575391,False
2017-01-31,4044.487101558752,3325.9951717941963,7794.5078934114035,8938.62975751732,False
2017-02-01,-432.0053113213708,3334.505031441014,7814.450847253144,8961.500050690447,False
2017-02-02,198.10799394465164,3308.5726280932063,7753.677962101727,8891.806578428545,False
2017-02-03,1867.2561926230237,3308.539908307454,7753.601282907939,8891.718643829883,False
2017-02-06,3790.700271860969,3300.743275221464,7735.32978370489,8870.765150841713,False
2017-02-07,1173.3682348840423,3308.5039636064407,7753.517046088189,8891.622042254263,False
2017-02-08,4126.281827113954,3292.5263095048153,7716.0732301532025,8848.682011667548,False
2017-02-09,-2854.3250796192297,3289.442931334025,7708.847297988776,8840.395416393798,False
2017-02-10,580.3875963221517,3294.8884958397916,7721.609040965504,8855.030400037345,False
2017-02-13,-1336.6632392225188,3271.553027981802,7666.9221039675085,8792.316205750498,False
2017-02-14,-1398.4789915060023,3268.982446142427,7660.897915896646,8785.40775335152,False
2017-02-15,210.48297466964567,3250.030460376902,7616.483719538833,8734.474190559731,False
2017-02-16,2780.519254008396,3249.289598558156,7614.747501355741,8732.483120471774,False
2017-02-17,2889.7657282066334,3253.145385339089,7623.783581971301,8742.845568003559,False
2017-02-21,-123.28763007168892,3256.328931173794,7631.244258206817,8751.401364408148,False
2017-02-22,-787.8571654234725,3255.8839540256813,7630.201449148413,8750.205485950095,False
2017-02-23,2605.2386547610995,3245.8662588200855,7606.724865352989,8723.282876673373,False
2017-02-24,5182.851325557592,3237.484219901927,7587.081460857238,8700.756102390023,False
2017-02-27,-2705.762963386704,3252.8158512195955,7623.011314976651,8741.959943300431,False
2017-02-28,1173.662671152631,3256.843990608869,7632.451305909805,8752.78558938607,False
2017-03-01,-2026.8705163008103,3251.4663131361144,7619.848656974813,8738.333052505699,False
2017-03-02,-5148.618280814588,3242.438230070371,7598.691240597581,8714.07003113118,False
2017-03-03,353.2473654083378,3259.5747714444233,7638.850922168546,8760.12457744142,False
2017-03-06,-1078.5055063298855,3258.0944029897755,7635.381661688927,8756.146079326623,False
2017-03-07,-3640.599387617216,3258.927790088139,7637.334713927712,8758.385811596872,False
2017-03-08,-3189.512047988802,3264.6841269239403,7650.824755429962,8773.855997534343,False
2017-03-09,-3276.7642558982348,3270.6191267758013,7664.733495762791,8789.806341280058,False
2017-03-10,2844.5790741797096,3275.4616854322067,7676.082087604341,8802.82074348838,False
2017-03-13,369.0258401243925,3278.710565615183,7683.695875635578,8811.552126302295,False
2017-03-14,-1047.1368038551475,3277.7821257418514,7681.520066126709,8809.056939192522,False
2017-03-15,7895.1418314411,3258.2513587107896,7635.749489224197,8756.567898663694,False
2017-03-16,973.1180013186124,3285.2584942396497,7699.0410215882,8829.14971939236,False
2017-03-17,2463.248807714713,3280.6068321002285,7688.139797927181,8816.64835259124,False
2017-03-20,1093.408931924744,3275.484615637098,7676.135824802922,8802.882368536284,False
2017-03-21,498.75189228388297,3275.8801656871415,7677.062800889192,8803.945411404744,False
2017-03-22,3546.315630983188,3273.6014326929953,7671.722563939819,8797.821304333378,False
2017-03-23,-1303.50983312858,3279.960337397202,7686.624730163846,8814.91089462992,False
2017-03-24,1013.1008724935218,3281.087817288952,7689.2669922424075,8817.94100285042,False
2017-03-27,3171.2740048308765,3232.6532770938848,7575.760090889767,8687.77291783611,False
2017-03-28,-586.3762819805772,3234.1926988644436,7579.367743493615,8691.910122052273,False
2017-03-29,1594.0014362423317,3229.338417972519,7567.991680458463,8678.864216273492,False
2017-03-30,-3781.822998030864,3227.492514313279,7563.665784027693,8673.903340347419,False
2017-03-31,-741.7586871387383,3235.3076498365526,7581.980643905067,8694.906558734438,False
2017-04-03,3045.949237151852,3231.350167806161,7572.706239304149,8684.27080467752,False
2017-04-04,-1105.371313665737,3236.6745683734243,7585.184033199091,8698.580159590327,False
2017-04-05,366.4821111576621,3231.1889765544784,7572.3284857541,8683.837602329195,False
2017-04-06,-441.0687852202223,3228.624735094721,7566.319156435709,8676.946189734244,False
2017-04-07,-1636.876137198312,3227.374972339146,7563.390323061016,8673.587445665235,False
2017-04-10,363.8031699286894,3229.0486204464396,7567.312536626964,8678.08538387703,False
2017-04-11,5014.370461648715,3227.8142564062896,7564.419790318766,8674.768023937828,False
2017-04-12,1832.4922491185,3224.5883339840543,7556.859804063561,8666.098340228311,False
2017-04-13,1133.7569525277256,3220.554246376597,7547.405873412759,8655.256708274588,False
2017-04-17,-275.65345680944915,3220.956171392895,7548.347789305682,8656.336883898848,False
2017-04-18,4530.501219397426,3217.789373113704,7540.926361158906,8647.826096638997,False
2017-04-19,-1845.3289836842464,3224.4264480637185,7556.480422549543,8665.663270954276,False
2017-04-20,902.0312230456184,3218.597657027855,7542.820583797108,8649.998363967832,False
2017-04-21,-368.33265437500313,3213.2268394356115,7530.234011070897,8635.56426305291,False
2017-04-24,3218.863021459895,3209.8082591585658,7522.222528919731,8626.376810331389,False
2017-04-25,-3843.265992991413,3215.7419069144325,7536.1281006000645,8642.32352031191,False
2017-04-26,3400.750369748884,3213.783634199726,7531.538865996937,8637.060651950147,False
2017-04-27,-800.5372936763622,3217.4563715681215,7540.145968211384,8646.931153209767,False
2017-04-28,-226.91987381794905,3213.40156188682,7530.643475142479,8636.033830572105,False
2017-05-01,-2434.0129987094224,3213.4256642566197,7530.699959322987,8636.098605819448,False
