model,var_eur,expected_shortfall_eur,var_pct_market_value,es_pct_market_value
Historical Full Revaluation,1701.9633240475523,1908.2814568063125,0.00570416694589093,0.0063956466367820685
Parametric Key-Rate Normal,1596.573309792207,1829.1373945253968,0.005350950030315657,0.006130393597749061
