date,realised_pnl,realised_loss,delta_normal_var,delta_normal_es,delta_gamma_var,delta_gamma_es,full_revaluation_var,full_revaluation_es
2022-10-18,-3663.671503845864,3663.671503845864,2756.3366250339022,3136.990486178511,2674.876185374276,3106.7381496120856,2614.4165291486315,2972.544121043489
2022-10-19,-1997.6167622032153,1997.6167622032153,2706.319088008047,3081.7667031560486,2611.9247097416605,2960.0297737089186,2528.088500032924,2897.066236457714
2022-10-20,1016.7911806427874,-1016.7911806427874,2645.3837044920883,3012.8806719148224,2618.966169356379,2925.0645799664167,2540.550358416196,2882.2803524771307
2022-10-21,-1528.8492015323063,1528.8492015323063,2678.1339103323394,3049.7981115686894,2801.9573712754486,3182.9177156746255,2657.812169671248,3105.9425154495393
2022-10-24,775.2742536023652,-775.2742536023652,2652.3811699934754,3021.7121340950534,2454.4968307310014,2781.796439533916,2420.0365267660254,2705.7960598006403
2022-10-25,1052.6894024294234,-1052.6894024294234,2678.575668896274,3051.345846788012,2443.435482833359,2811.5694692038187,2410.464807612571,2734.8319414734315
2022-10-26,-1129.7787410967212,1129.7787410967212,2720.199574356684,3098.3706511474384,2532.5490033473743,2943.5995562534213,2460.6996249277563,2859.7278045052253
2022-10-27,-940.9214621142892,940.9214621142892,2694.856344487651,3069.859358824587,2590.6552954152467,2995.197530146494,2600.6882295734317,2930.3303760022236
2022-10-28,-643.8201943104941,643.8201943104941,2668.7312576981903,3040.3907571280565,2628.1075156345646,3016.590745233499,2636.2344767720865,3001.8903408196484
2022-10-31,-686.9756187811727,686.9756187811727,2625.098544637283,2990.449581052743,2530.285970199584,2906.273978794568,2495.0200271744875,2882.8479271734222
2022-11-01,151.4003640812516,-151.4003640812516,2617.9014600736427,2982.655287075087,2439.8351671336477,2763.273269641072,2471.7506116223,2737.031631895482
2022-11-02,-442.704845528584,442.704845528584,2596.0079733180787,2957.264615997713,2540.0680358084096,2908.886063299603,2524.2358716402973,2835.8189453544796
2022-11-03,444.689770905592,-444.689770905592,2583.9572960711134,2943.51338564462,2527.358865673942,2851.1911361998673,2427.964624006659,2754.778781447244
2022-11-04,-688.3316030007845,688.3316030007845,2567.6239514689346,2924.4043990934106,2530.5044902055065,2918.1059503952924,2529.5389529929325,2887.3451857096306
2022-11-07,1985.571379206529,-1985.571379206529,2544.8738574605504,2898.564876274663,2475.6412481103803,2699.8368468999115,2381.1015940145417,2656.7092660171547
2022-11-08,506.5382964215969,-506.5382964215969,2625.989320674826,2990.7187008146016,2429.6234673754816,2765.538455394423,2373.506104412108,2660.6176839852806
2022-11-09,-696.0923485344974,696.0923485344974,2620.620848723631,2984.2052048764594,2523.3835883197794,2827.8424616812413,2445.490466106838,2743.999208197249
2022-11-10,-1011.4405623677158,1011.4405623677158,2606.719250931527,2968.652352458919,2656.2167171671103,2934.5509423899402,2600.0527036002436,2850.3503157328482
2022-11-11,699.0874585630299,-699.0874585630299,2579.8585318982077,2938.339261417586,2490.587271296257,2810.9778125844723,2433.7651614024767,2704.9064585915125
2022-11-14,74.98562851097813,-74.98562851097813,2600.342639704208,2961.360803731363,2548.321172878834,2888.673430622861,2427.5286857877254,2790.120153959544
2022-11-15,930.6093468816325,-930.6093468816325,2604.1043293552443,2965.6780592799983,2519.2315048430733,2867.439066677092,2527.8354344392924,2812.3011115592503
2022-11-16,590.3404695555582,-590.3404695555582,2650.7411519148486,3018.5702142032883,2529.574207462318,2895.668251215381,2407.4355784819145,2853.9473652280876
2022-11-17,627.5166176957209,-627.5166176957209,2655.496890455214,3023.637589308712,2500.3049810438406,2826.34081782319,2344.4576620510106,2693.2013557195623
2022-11-18,-779.4120836136863,779.4120836136863,2687.372928161372,3059.7658390518095,2663.2401580316464,2802.888289418691,2570.5379448603635,2728.3787028582296
2022-11-21,-1814.5740115155859,1814.5740115155859,2663.96464649328,3033.2971894737866,2510.6789609104076,2944.392948729219,2489.8585726453844,2853.7925633044374
2022-11-22,-559.1055890974676,559.1055890974676,2618.613470095473,2982.2111830800995,2521.64603986859,2858.171505463503,2462.943575059711,2810.8351710998563
2022-11-23,-842.1470228330581,842.1470228330581,2602.233161015206,2963.6957309958,2551.8512575509535,2834.2926154409283,2486.0681719851973,2753.6649704684482
2022-11-24,-3.856111117929686,3.856111117929686,2578.6833838024813,2937.020677895161,2478.3203479628837,2802.9307357366733,2363.8433143971683,2692.250778996612
2022-11-25,1128.0126585197067,-1128.0126585197067,2590.7720016979297,2951.8957282419783,2440.685695099011,2703.332754503098,2345.525426864059,2640.667065242807
2022-11-28,750.1661284766597,-750.1661284766597,2603.114716414664,2965.273812493876,2578.3877082663053,3089.951282352973,2516.3736544769595,2994.8752993120484
2022-11-29,568.5792281882386,-568.5792281882386,2629.4733509698362,2994.938763207653,2444.881575795402,2654.5782201493257,2386.283017305209,2586.9179819353526
2022-11-30,218.79116219458956,-218.79116219458956,2647.741057470385,3015.421842958272,2609.2526854869348,3066.156886240079,2515.798041023906,2957.3636424532574
2022-12-01,711.3016972524929,-711.3016972524929,2630.27279014756,2995.2223606620105,2563.6430503331508,2901.5391589358023,2516.94654665768,2828.7618074913585
2022-12-02,-405.39493059471715,405.39493059471715,2657.8075394911175,3026.3136120473455,2504.9908081075196,3027.163021853892,2502.020258912934,2887.986841978439
2022-12-05,446.2644264881237,-446.2644264881237,2637.1082991105422,3002.8239631196698,2776.745691101721,3200.721351913001,2703.763390196692,3088.7207659294954
2022-12-06,1445.4821971613346,-1445.4821971613346,2638.194112035937,3003.764929915425,2417.8155006398274,2784.567708826945,2430.3022311855384,2702.082217574323
2022-12-07,-560.3001662158204,560.3001662158204,2658.6264675895686,3026.4339084644503,2610.185296665935,3057.071052348616,2518.044892837327,2916.3065487043887
2022-12-08,-851.5235083966836,851.5235083966836,2643.22633172428,3009.0262217501195,2609.5364846022817,3011.0699981726425,2493.550429692484,2894.8342733533127
2022-12-09,725.2381983573214,-725.2381983573214,2623.9340518272306,2987.401346051213,2604.422813825352,3072.076325606709,2497.2643545988485,2876.6284677684957
2022-12-12,-454.4241380264284,454.4241380264284,2658.984739626004,3027.355053916526,2823.4998094026237,3219.88333793487,2749.009273824645,3056.7111591041885
2022-12-13,242.52135040863504,-242.52135040863504,2648.26440749782,3015.223007457969,2586.8742336071005,3014.3472034486026,2493.465656851528,2931.269884154547
2022-12-14,1027.4156822226068,-1027.4156822226068,2651.5767856655575,3018.823583942784,2360.658986848071,2770.9554000140533,2251.1509689041336,2606.307606988676
