method,confidence_level,var,expected_shortfall,mean_pnl,pnl_volatility,simulations
Delta-normal,0.99,4186.497257925153,4767.662209032757,-196.74772033167991,1715.027052537642,
Delta-gamma MC,0.99,3997.833521429533,4562.686962755376,58.800341955822354,1749.810834483055,100000.0
Full-revaluation MC,0.99,3853.5915104576065,4432.33460435925,136.45891018953103,1756.8568749902443,100000.0
