window_name,confidence_level,lookback,sample_start,sample_end,mean_pnl_used,pnl_volatility,z_score,var_eur,expected_shortfall_eur
250-day window,0.95,250,2025-08-04,2026-07-31,0.0,4598.941490683749,1.6448536269514722,7564.585591088775,9486.295513810663
250-day window,0.99,250,2025-08-04,2026-07-31,0.0,4598.941490683749,2.3263478740408408,10698.737759690355,12257.164259508667
500-day window,0.95,500,2024-08-01,2026-07-31,0.0,4687.570090962447,1.6448536269514722,7710.366665708822,9669.110862716989
500-day window,0.99,500,2024-08-01,2026-07-31,0.0,4687.570090962447,2.3263478740408408,10904.918715527918,12493.378465300795
Full sample,0.95,2654,2016-01-05,2026-07-31,0.0,4417.580767947445,1.6448536269514722,7266.273748509424,9112.200428243685
Full sample,0.99,2654,2016-01-05,2026-07-31,0.0,4417.580767947445,2.3263478740408408,10276.829627918243,11773.799082259673
