window_days,window_start,window_end,cumulative_portfolio_pnl_eur,portfolio_loss_eur,main_loss_contributor,main_contributor_pnl_eur
1,2020-03-18,2020-03-18,-35216.12757346653,35216.12757346653,Government bond proxy,-16923.710541243432
5,2020-03-12,2020-03-18,-70083.25834757948,70083.25834757948,Equity index,-29063.791411348488
20,2020-02-20,2020-03-18,-84178.94697242364,84178.94697242364,Equity index,-78771.14632159435
