window_name,confidence_level,historical_var_eur,historical_es_eur,parametric_var_eur,parametric_es_eur,var_difference_eur,es_difference_eur,parametric_vs_historical_var_pct,parametric_vs_historical_es_pct
250-day window,0.95,7665.152514185783,10767.555645932405,7564.585591088775,9486.295513810663,-100.56692309700793,-1281.2601321217426,-0.013120015930653706,-0.11899266409695841
250-day window,0.99,12669.895738533007,14999.77346984084,10698.737759690355,12257.164259508667,-1971.1579788426516,-2742.6092103321735,-0.15557807416265945,-0.18284337532473915
500-day window,0.95,6937.815014820335,10509.518341800038,7710.366665708822,9669.110862716989,772.5516508884875,-840.4074790830491,0.11135374022486721,-0.07996631736589244
500-day window,0.99,13423.438371966307,15189.361403602492,10904.918715527918,12493.378465300795,-2518.5196564383896,-2695.982938301697,-0.18762105405855634,-0.17749152625088538
Full sample,0.95,6968.702163948424,10196.147760959546,7266.273748509424,9112.200428243685,297.57158456100024,-1083.9473327158612,0.04270114829995797,-0.10630949630469577
Full sample,0.99,11487.287732142264,15748.263573674873,10276.829627918243,11773.799082259673,-1210.4581042240206,-3974.4644914151995,-0.10537370808925339,-0.2523747759758731
