date,actual_pnl_eur,fhs_forecast_volatility_eur,fhs_residual_skewness,fhs_residual_excess_kurtosis,fhs_var_eur,fhs_es_eur,fhs_exception
2016-12-30,1654.6116556362012,3522.7636550671377,-0.35449235925137473,1.4993701159426944,10767.27074051973,13244.887344772598,False
2017-01-03,2194.1066211462858,3439.4093436317185,-0.36050967988399274,1.5059153634523081,10512.493211536768,12931.476291062461,False
2017-01-04,2403.266441930962,3377.663460867502,-0.3784925389936958,1.5647579090091641,10323.772666972201,12699.335617232467,False
2017-01-05,8378.931017735753,3327.256408856718,-0.385678588658628,1.554462814258816,10169.704177749576,12509.814833301254,False
2017-01-06,-965.6878864533036,3823.4521397041963,-0.34118107788316704,1.5214989247630353,11686.316343998642,14375.406433263797,False
2017-01-09,1420.9026607935048,3714.5136521341865,-0.328637511367951,1.4975591835740163,11353.365174940149,13965.86199057069,False
2017-01-10,1519.8296909485043,3618.1338274061477,-0.32829479046504784,1.5414315203708444,11058.794669750896,13603.524273799658,False
2017-01-11,1497.0796939716258,3527.6097963666143,-0.31984109957931245,1.5616289853462932,10782.137145953055,13263.239062757137,False
2017-01-12,109.74824849854792,3439.747700464898,-0.3286431085917724,1.5695102097030276,10513.574962583032,12932.863477676116,False
2017-01-13,-97.59417945348632,3335.067636922814,-0.3468366360312413,1.6931258192950391,10193.584976167627,12539.197768916018,False
2017-01-17,4152.76998823188,3233.5564329765252,-0.34143753004629235,1.7087248303150622,9883.312202060164,12157.52286125058,False
2017-01-18,-2789.381500397048,3295.946537102532,-0.3428530325438149,1.7216420980889282,10074.0181634907,12392.125251642032,False
2017-01-19,-4404.867330015872,3267.7679236970093,-0.34291665782431474,1.703575436219709,9987.871211359716,12286.132211213217,False
2017-01-20,1286.7718665138138,3346.9061327021145,-0.33576646719652126,1.6472923507891535,10229.733446411341,12583.621811681664,False
2017-01-23,4329.287418059768,3260.2179567770772,-0.35004373868485006,1.661719895510779,9964.755747261175,12257.651267922221,False
2017-01-24,-248.23649961142064,3334.043114948179,-0.34991912603647696,1.6153035420210076,10190.40676850546,12535.232666755473,False
2017-01-25,-3433.9271506367404,3233.0464938375017,-0.3348836944736939,1.6399520632964624,9881.740065602726,12155.572908599046,False
2017-01-26,-207.6888795625564,3245.4501479100704,-0.3506007250157926,1.6658057968691224,9919.594718885932,12202.070536788155,False
2017-01-27,-289.6930478464287,3146.9916273201015,-0.324961688246571,1.6426712318007848,9618.750057040144,11832.109204382048,False
2017-01-30,-1238.2224020792312,3051.9466861055766,-0.334316096928881,1.6537014143843365,9328.227586819208,11474.712962880703,False
2017-01-31,4044.487101558752,2974.476028972095,-0.3237256388637178,1.6704822171289813,9091.43364688177,11183.42398404779,False
2017-02-01,-432.0053113213708,3049.2834744433853,-0.3229842811973389,1.6699342457880233,9320.083559744566,11464.690235315702,False
2017-02-02,198.10799394465164,2958.283139561562,-0.3098361405729453,1.66456907797025,9041.976049822228,11122.62831167674,False
2017-02-03,1867.2561926230237,2868.572438922964,-0.31076306830943295,1.672036199565361,8767.759091418782,10785.29135354982,False
2017-02-06,3790.700271860969,2818.5429263639403,-0.31912088126969573,1.66216373447139,8614.835951560975,10597.169260464696,False
2017-02-07,1173.3682348840423,2886.1216583043847,-0.34461465555555,1.641206245100392,8821.347503617804,10851.150802809208,False
2017-02-08,4126.281827113954,2812.9208216129387,-0.3362675243027969,1.6376063796661553,8597.640651073145,10576.003636648968,False
2017-02-09,-2854.3250796192297,2908.495132564415,-0.3247150215998186,1.5937217186735486,8889.788562162425,10935.408171577139,False
2017-02-10,580.3875963221517,2905.273476245945,-0.3317935367232199,1.5680241486370106,8879.906582714033,10923.210657281556,False
2017-02-13,-1336.6632392225188,2820.3522786118488,-0.29946390429164493,1.5872331152432544,8620.457876969844,10604.193747915519,False
2017-02-14,-1398.4789915060023,2753.9650571931543,-0.30594170173793356,1.664582621923138,8417.578207601746,10354.667994678957,False
2017-02-15,210.48297466964567,2691.952421372773,-0.2606413159282917,1.7669856308804759,8228.128585137827,10121.732984111046,False
2017-02-16,2780.519254008396,2610.4538872874296,-0.2514767056939455,1.809348083377035,7979.02904035841,9815.313382857843,False
2017-02-17,2889.7657282066334,2620.9691002163972,-0.2920179618597002,1.7997238962258155,8011.116623731966,9854.72272089083,False
2017-02-21,-123.28763007168892,2637.869449658395,-0.31082200705689705,1.7533003359294295,8062.749473250324,9918.209518829897,False
2017-02-22,-787.8571654234725,2557.6876885264846,-0.33587115743978135,1.7458539380971736,7817.619458956649,9616.607305106094,False
2017-02-23,2605.2386547610995,2487.2682508051157,-0.3317864100533536,1.7567848974406743,7602.3965656164855,9351.875710614586,False
2017-02-24,5182.851325557592,2494.503705804558,-0.30879910600171656,1.7808284035428663,7624.585084189342,9379.257255370705,False
2017-02-27,-2705.762963386704,2731.4669960278125,-0.44803979883360334,1.5296366815682383,8348.996933892331,10270.524068076924,False
2017-02-28,1173.662671152631,2729.93165439688,-0.447516615202424,1.5330915996205121,8344.232157448756,10264.577266212256,False
2017-03-01,-2026.8705163008103,2662.3343661468944,-0.44544481550168863,1.5511078079401583,8137.615138671566,10010.408068475504,False
2017-03-02,-5148.618280814588,2628.5423465676427,-0.42894776719245925,1.5287436928302585,8034.365138393033,9883.440921375215,False
2017-03-03,353.2473654083378,2843.4446448066187,-0.43182787459786415,1.4564985213892623,8691.131635709995,10691.239683856635,False
2017-03-06,-1078.5055063298855,2758.179474238946,-0.4269517007735057,1.4801812155627578,8430.47167702942,10370.54279636566,False
