specification,lookback_window,decay_factor,residual_scenarios,effective_es_tail_scenarios,current_var_eur,current_expected_shortfall_eur,observations,expected_exceptions,actual_exceptions,observed_exception_rate,exception_rate_gap,kupiec_lr,kupiec_p_value,passes_unconditional_coverage,probability_after_no_exception,probability_after_exception,independence_lr,independence_p_value,passes_independence,conditional_coverage_lr,conditional_coverage_p_value,passes_conditional_coverage,absolute_exception_rate_gap,frequency_rank,independence_rank,overall_diagnostic_rank
FHS_500_lambda_0.94,500,0.94,480,4.800000000000004,12630.426739323335,15699.788324882637,2154,21.54000000000002,23,0.010677808727948004,0.0006778087279479955,0.0977968581562152,0.7544896822611123,True,0.009859154929577466,0.08695652173913043,5.157708382372704,0.02314341452868118,False,5.255505240528919,0.07224063207451559,True,0.0006778087279479955,1,2,1
FHS_250_lambda_0.94,250,0.94,230,2.300000000000002,11504.036618038577,16371.677865946105,2154,21.54000000000002,33,0.01532033426183844,0.005320334261838431,5.2970262439715725,0.021361864572448278,False,0.014622641509433962,0.06060606060606061,2.651251590928439,0.10346840282091489,True,7.948277834900011,0.018795478987581393,False,0.005320334261838431,5,1,2
FHS_500_lambda_0.99,500,0.99,480,4.800000000000004,14135.903099310259,17220.465081460003,2154,21.54000000000002,29,0.013463324048282266,0.003463324048282257,2.354409035637957,0.12492922058564429,True,0.011770244821092278,0.13793103448275862,12.349650809209777,0.0004410689645276293,False,14.704059844847734,0.0006412892707467329,False,0.003463324048282257,3,5,3
FHS_250_lambda_0.97,250,0.97,230,2.300000000000002,12446.282402812725,17355.85179748784,2154,21.54000000000002,32,0.014856081708449397,0.004856081708449388,4.4641425768663225,0.034613457522096575,False,0.013201320132013201,0.125,10.81186375335318,0.001008517237730911,False,15.276006330219502,0.00048178954634162227,False,0.004856081708449388,4,4,4
FHS_500_lambda_0.97,500,0.97,480,4.800000000000004,13435.387464649402,16895.153292568142,2154,21.54000000000002,25,0.01160631383472609,0.0016063138347260815,0.5338246814930017,0.4650033075623615,True,0.009868421052631578,0.16,14.746641464120671,0.00012296636872119083,False,15.280466145613673,0.00048071639708044395,False,0.0016063138347260815,2,6,5
FHS_250_lambda_0.99,250,0.99,230,2.300000000000002,13838.168195165088,18806.89203768903,2154,21.54000000000002,38,0.017641597028783658,0.007641597028783649,10.350640448052104,0.001294297720580789,False,0.01607565011820331,0.10526315789473684,8.244985135598938,0.004086474355111355,False,18.595625583651042,9.162441414538674e-05,False,0.007641597028783649,6,3,6
