date,actual_pnl_eur,ewma_t_forecast_volatility_eur,ewma_t_degrees_of_freedom,ewma_t_residual_scale,ewma_t_var_multiplier,ewma_t_var_eur,ewma_t_es_eur,ewma_t_exception
2016-12-30,1654.6116556362012,3522.7636550671377,6.482354142392889,0.8775648593770213,2.69053006187406,9478.101514835476,12032.451289578597,False
2017-01-03,2194.1066211462858,3439.4093436317185,6.517654766251896,0.877167155531577,2.684870408642731,9234.368369926118,11714.750442068842,False
2017-01-04,2403.266441930962,3377.663460867502,6.438487644542253,0.8687212739324394,2.668965182183886,9014.866174190087,11454.580861552078,False
2017-01-05,8378.931017735753,3327.256408856718,6.570621438143702,0.8729692996674024,2.665501717048625,8868.807670868622,11239.271793687121,False
2017-01-06,-965.6878864533036,3823.4521397041963,6.306532596793,0.8748488018085818,2.705188459404298,10343.158603412461,13178.861320863596,False
2017-01-09,1420.9026607935048,3714.5136521341865,6.328529350716336,0.8782539946869963,2.712742963018359,10076.520770862639,12833.058163357236,False
2017-01-10,1519.8296909485043,3618.1338274061477,6.116871681512899,0.8694248044599038,2.714921090537845,9822.947836413367,12569.30937642059,False
2017-01-11,1497.0796939716258,3527.6097963666143,5.921669427688528,0.8643677241440578,2.7284971103735383,9625.073135911693,12374.470227841279,False
2017-01-12,109.74824849854792,3439.747700464898,5.968458467245249,0.8642421731889749,2.7208400910556514,9359.003446541381,12018.350294217378,False
2017-01-13,-97.59417945348632,3335.067636922814,5.724445296819445,0.8455651636023702,2.7007273419765356,9007.108354378517,11640.209810800607,False
2017-01-17,4152.76998823188,3233.5564329765252,5.6020018693751155,0.8399914285771957,2.7038383435390845,8743.013869479399,11337.97974911822,False
2017-01-18,-2789.381500397048,3295.946537102532,5.612557498021027,0.8395883817811821,2.700692631767352,8901.338527451928,11539.775497985414,False
2017-01-19,-4404.867330015872,3267.7679236970093,5.718878687828227,0.8424654686457599,2.6917555347031863,8796.032394736963,11369.167173019841,False
2017-01-20,1286.7718665138138,3346.9061327021145,5.905196200853004,0.849761477803095,2.68493823973467,8986.236260494388,11557.965965128466,False
2017-01-23,4329.287418059768,3260.2179567770772,5.889213101844737,0.8478237147718342,2.6812992757917105,8741.620046429507,11247.922818493056,False
2017-01-24,-248.23649961142064,3334.043114948179,6.112929328922736,0.8582308218269294,2.680531673536414,8937.008170554602,11436.72264548387,False
2017-01-25,-3433.9271506367404,3233.0464938375017,5.91080682500107,0.8517316356881222,2.690291427416628,8697.837266810417,11185.439882569994,False
2017-01-26,-207.6888795625564,3245.4501479100704,5.855176056051354,0.8453746467460976,2.678885289779615,8694.188659949365,11196.699742151415,False
2017-01-27,-289.6930478464287,3146.9916273201015,5.8988673001166205,0.853424284114459,2.6974992805341143,8489.007650542855,10920.194615147731,False
2017-01-30,-1238.2224020792312,3051.9466861055766,5.861255551435358,0.8505456325938018,2.6943075789124618,8222.883086811027,10588.067661530604,False
2017-01-31,4044.487101558752,2974.476028972095,5.7238707029347875,0.8442110660431177,2.696498308470235,8020.669580708516,10365.562968391732,False
2017-02-01,-432.0053113213708,3049.2834744433853,5.724422064341233,0.8444089948199776,2.697038429162878,8224.034711985112,10628.222376554748,False
2017-02-02,198.10799394465164,2958.283139561562,5.732800023374026,0.84711172670314,2.704270039421305,7999.996462441528,10336.31758442344,False
2017-02-03,1867.2561926230237,2868.572438922964,5.666410455216836,0.8432415445414614,2.7031110761463153,7754.069932380714,10037.03743760768,False
2017-02-06,3790.700271860969,2818.5429263639403,5.763694027621631,0.8465072590533009,2.697223217002157,7602.23941910602,9814.162939437245,False
2017-02-07,1173.3682348840423,2886.1216583043847,5.899469479143301,0.8506466688287071,2.688626001595732,7759.701734285762,9981.868060466117,False
2017-02-08,4126.281827113954,2812.9208216129387,5.905930231436743,0.8529004624694108,2.6947419607282095,7580.095770206456,9749.22692757313,False
2017-02-09,-2854.3250796192297,2908.495132564415,6.046532708338999,0.8623609753016739,2.7031446315366527,7862.083003441984,10076.924684528629,False
2017-02-10,580.3875963221517,2905.273476245945,6.187551575183356,0.8653919569483046,2.6922579701650586,7821.745671932292,9992.390036694429,False
2017-02-13,-1336.6632392225188,2820.3522786118488,6.046405258307422,0.8692669539332283,2.724811071424273,7684.927114078241,9849.89193853099,False
2017-02-14,-1398.4789915060023,2753.9650571931543,6.00724858436098,0.8607988910038338,2.7041127112028502,7447.031917364493,9554.001674949159,False
2017-02-15,210.48297466964567,2691.952421372773,5.788150509936448,0.8558827588305239,2.723050702098481,7330.322931034836,9456.923167553736,False
2017-02-16,2780.519254008396,2610.4538872874296,5.592545843492887,0.8473782899430378,2.729294700696686,7124.697960986645,9241.876674757477,False
2017-02-17,2889.7657282066334,2620.9691002163972,5.600247519970821,0.8429934992750628,2.713810989211897,7112.814746552076,9224.399088183503,False
2017-02-21,-123.28763007168892,2637.869449658395,5.797224314096171,0.8504379879143491,2.7042473577678217,7133.451489375172,9200.713351002763,False
2017-02-22,-787.8571654234725,2557.6876885264846,5.735312113131137,0.845082301909572,2.697373394714434,6899.038723019998,8913.22406401441,False
2017-02-23,2605.2386547610995,2487.2682508051157,5.709537060546106,0.8449138899951859,2.7011465519905933,6718.476059537912,8686.091874282054,False
2017-02-24,5182.851325557592,2494.503705804558,5.812555373308411,0.8540705849274064,2.71329986954104,6768.336579529149,8726.243286323459,False
2017-02-27,-2705.762963386704,2731.4669960278125,6.781974500304964,0.8715519838607256,2.6364519889512392,7201.381594432193,9090.075121713358,False
2017-02-28,1173.662671152631,2729.93165439688,6.781181750435069,0.8699563515686941,2.6317141923074394,7184.399878905597,9068.769343228834,False
2017-03-01,-2026.8705163008103,2662.3343661468944,6.63096293147718,0.8650524764766907,2.634124817318617,7012.921025867764,8877.010245754485,False
2017-03-02,-5148.618280814588,2628.5423465676427,6.652586467761819,0.866674248338035,2.6365163890126695,6930.19497593941,8768.694364700745,False
2017-03-03,353.2473654083378,2843.4446448066187,6.777821887084321,0.8741541501656258,2.6447923264192803,7520.3205771825415,9493.373289898334,False
2017-03-06,-1078.5055063298855,2758.179474238946,6.574193412366949,0.8668910234829499,2.6465105250033107,7299.551008421469,9249.938891159154,False
2017-03-07,-3640.599387617216,2687.171682845107,6.5796028243200295,0.864923414185037,2.639852117560596,7093.735857207525,8988.18575088992,False
2017-03-08,-3189.512047988802,2753.702202447226,6.650072567716429,0.8690482663384279,2.644034243413476,7280.882919433573,9212.853853936092,False
2017-03-09,-3276.7642558982348,2781.7769581980992,6.769432718376867,0.8707818732440396,2.6355348636578917,7331.470156251292,9256.380406896345,False
2017-03-10,2844.5790741797096,2813.932727231785,6.96090188114365,0.875817902517959,2.629774725929689,7400.00916654055,9311.636887082155,False
2017-03-13,369.0258401243925,2815.7809475955805,7.194674958869161,0.8817087770760884,2.6235121472701475,7387.235520068852,9260.29465186524,False
2017-03-14,-1047.1368038551475,2731.497012902233,7.116527417532044,0.8790150263069345,2.62326500763091,7165.440532394785,8993.380631113581,False
2017-03-15,7895.1418314411,2660.676770025901,6.87621324079236,0.8692595682435483,2.619125655305098,6968.64678884914,8781.61055848881,False
2017-03-16,973.1180013186124,3224.0416374584684,6.341983894062811,0.8711143397315669,2.688897842293287,8669.118602425791,11037.4789589405,False
2017-03-17,2463.248807714713,3134.899599594024,6.339634570615278,0.8702174080713257,2.6864411869712854,8421.723401369178,10723.032684338285,False
2017-03-20,1093.408931924744,3098.70861520158,6.371072454970173,0.8731777775450023,2.691415683281196,8339.91296487209,10611.80512705769,False
2017-03-21,498.75189228388297,3016.224193050235,6.184233384645351,0.8642266830636147,2.689098400053541,8110.92365173417,10362.59679930636,False
2017-03-22,3546.315630983188,2926.888681059021,5.950152085973082,0.8537350085902876,2.690550193079634,7874.940905945945,10117.18904417984,False
2017-03-23,-1303.50983312858,2967.7025400462962,6.005390163097563,0.8547163783933216,2.6852829836046164,7969.121131186517,10224.266682875217,False
2017-03-24,1013.1008724935218,2894.9562347023143,5.93610170053942,0.8499211454542499,2.680676716535069,7760.441773754526,9973.58912269089,False
2017-03-27,3171.2740048308765,2817.7127950414288,5.949772644856848,0.8643999673783238,2.7242196321338232,7676.068513966528,9861.784536650424,False
2017-03-28,-586.3762819805772,2840.167902174395,5.924929993472269,0.8609967217289225,2.717347284861513,7717.722537524411,9921.470848735187,False
2017-03-29,1594.0014362423317,2757.388382613601,5.77906330146822,0.8553918276861074,2.7229860179543968,7508.330011926724,9688.925994061881,False
2017-03-30,-3781.822998030864,2701.749384178586,5.670340940395908,0.8501361686708495,2.7245348910481972,7361.010464062538,9527.199562833217,False
2017-03-31,-741.7586871387383,2778.4193435643033,5.923726373085746,0.8605273398989992,2.716053523705018,7546.335648418009,9701.439552093578,False
2017-04-03,3045.949237151852,2699.898067772826,5.7819082845518786,0.8547860383194436,2.7205885296132473,7345.31171430772,9477.841297106477,False
2017-04-04,-1105.371313665737,2721.9021454415683,5.991898452432299,0.861318519037978,2.7080645615650134,7371.08674011809,9460.112880388393,False
2017-04-05,366.4821111576621,2652.83563192127,5.937792021770154,0.8598581912665948,2.7117565814073457,7193.844484254419,9245.01634249387,False
2017-04-06,-441.0687852202223,2573.585695820518,5.946101064602525,0.8592295009951747,2.708490269553228,6970.531814991247,8956.170291194156,False
2017-04-07,-1636.876137198312,2497.5218584135746,5.816217480304553,0.8524061057944875,2.7074188097857173,6761.837657319893,8717.021960628044,False
2017-04-10,363.8031699286894,2454.408378036142,5.702156621614616,0.8448883186760525,2.702308307356878,6632.5681496133875,8576.775225731322,False
2017-04-11,5014.370461648715,2381.305241223851,5.733024057913245,0.8442251164404866,2.6950177312887384,6417.659848709086,8291.82417914476,False
2017-04-12,1832.4922491185,2615.150404675385,5.640292710609145,0.8552911904117874,2.746299438619204,7181.986088264794,9303.395831456322,False
2017-04-13,1133.7569525277256,2574.9082603538054,5.728746202074605,0.8595433753506048,2.7446432422229092,7067.204556124019,9132.12573858702,False
2017-04-17,-275.65345680944915,2511.8654223778517,5.785713810680109,0.8593192573669711,2.7343868931123945,6868.411888212227,8861.58366035192,False
2017-04-18,4530.501219397426,2436.2797350235774,5.713397840544593,0.8561622260425009,2.736449402079386,6666.756224203394,8618.306864782755,False
2017-04-19,-1845.3289836842464,2609.761970194744,6.157526022785115,0.8633704928723891,2.6902013804989817,7020.785254991643,8975.278864695518,False
2017-04-20,902.0312230456184,2570.315214418964,6.183165409355702,0.8654170917660866,2.692952640820681,6921.737144411124,8843.494120825151,False
2017-04-21,-368.33265437500313,2501.7890939602603,6.140619435534408,0.8642580241682558,2.695375405477964,6743.260793553484,8623.842046504955,False
2017-04-24,3218.863021459895,2427.2519310632724,6.155080157239473,0.8642660537808616,2.6933392969173773,6537.4130094513,8357.810141338645,False
2017-04-25,-3843.265992991413,2481.8790903161735,6.460340763011245,0.8734052485762667,2.680564763800556,6652.837637514913,8449.541828485564,False
2017-04-26,3400.750369748884,2583.869491092111,6.581009868913037,0.8848808925516611,2.7005916246091743,6977.976306726524,8841.2698711233,False
2017-04-27,-800.5372936763622,2640.019855072071,6.763543487172842,0.8918419926202307,2.6999576431490695,7127.941785767137,9000.376201738867,False
2017-04-28,-226.91987381794905,2567.0944702422835,6.7451301963986685,0.8929792345126734,2.7055438020431657,6945.386533223294,8772.808276828371,False
2017-05-01,-2434.0129987094224,2489.5110569324725,6.819581225403981,0.8927286118974276,2.69620887606798,6712.24180877071,8466.94257296031,False
2017-05-02,1631.6163145669916,2486.2160998523477,6.912033300666414,0.8964547631814207,2.697087214450163,6705.541655271917,8444.812098963685,False
2017-05-03,-1710.1369760933571,2443.3838682421374,6.7855145801271695,0.8870545786061816,2.682942520447355,6555.4584738819685,8274.218841348122,False
2017-05-04,-3551.3543557191388,2405.6997373437043,7.493372101829093,0.8863832433099007,2.609306942140506,6277.20902535652,7833.943592572804,False
2017-05-05,3239.274092697042,2489.3523303643383,7.62626687529839,0.8898430602377378,2.607794025075142,6491.718133431003,8086.7430821157695,False
2017-05-08,-2305.7603631094767,2540.597637759641,7.94005869606397,0.8980744696806489,2.6059234356928647,6620.60292490378,8213.909506219044,False
2017-05-09,-1835.63148049436,2527.1228208848297,7.766314042281248,0.8930494414946327,2.6053431248952856,6584.022067158271,8186.493296413698,False
2017-05-10,-661.1611707642684,2491.05228333408,7.620878733990413,0.8878049602524549,2.602284737329689,6482.427336810549,8075.760389046398,False
2017-05-11,-211.78927241684585,2420.5886214853685,7.528077920250061,0.8837510124814241,2.5984762555534475,6289.842057392581,7845.875581267101,False
2017-05-12,2166.689109018754,2347.4211317036506,7.552358253072112,0.8815838418805282,2.58997363068915,6079.758831234937,7581.252993276751,False
2017-05-15,2110.7010184610363,2336.97144754676,7.8390365164802365,0.8867631650602219,2.581094625685095,6031.944443642459,7493.045548661119,False
2017-05-16,2536.3963480774632,2324.016591432853,8.109589224121956,0.8915922405913681,2.574166090059512,5982.404702402141,7407.029540967775,False
2017-05-17,4705.856932883684,2337.3032496513874,7.790823257377776,0.9042117649518625,2.6358617174169425,6160.808157750307,7657.8456309516405,False
2017-05-18,1245.1565681796003,2542.4226115639576,8.072095948291675,0.915593659798736,2.6463449643707926,6728.1272754147185,8334.013247231025,False
2017-05-19,2309.112791264068,2483.7679343113987,8.272003006842933,0.915754715365468,2.6317960868928387,6536.7707302706485,8078.393958592795,False
2017-05-22,2715.708340833389,2473.6364870493976,8.29505111713063,0.9077703947791493,2.6071888953238513,6449.237580103091,7968.172865372198,False
2017-05-23,-1809.0388797445896,2488.824896869063,8.659664051724498,0.9130800447292055,2.597409215294086,6464.496722381058,7956.389772874883,False
2017-05-24,1804.38185828834,2453.355215540805,8.90337837186474,0.9165112755661423,2.591728909354339,6358.43163703235,7807.384676274222,False
2017-05-25,2052.4359027652376,2419.3308908862773,9.20863215912366,0.9114899166387811,2.5596395958851867,6192.615143860699,7582.891266501564,False
2017-05-26,1431.4326267888312,2398.900210493865,9.41513630698345,0.9122097549886261,2.5503183588545713,6117.959247882599,7478.430906638222,False
2017-05-30,-690.9357002714,2352.1009456951565,9.169476869545296,0.9072484047686916,2.549934887602117,5997.704260590012,7346.725545692716,False
2017-05-31,2053.051662284727,2286.7180927603645,8.770033211540916,0.8988703283475414,2.5500059683269516,5831.144784420153,7169.060887368925,False
2017-06-01,3430.083401889794,2273.3753675310395,8.812963901534161,0.8948686459484181,2.5360056638117956,5765.292808028938,7085.159885415457,False
2017-06-02,4996.589322038748,2358.827726058859,9.136978879061235,0.9025628991016734,2.5386041706243287,5988.129903157321,7337.092231375742,False
2017-06-05,-739.1931288814881,2593.8732318165617,8.985847857884604,0.906645087619232,2.558881189547972,6637.413420967406,8143.707955041655,False
2017-06-06,2097.471307687932,2521.363185813375,8.927162061152153,0.9038772476206927,2.5545685365416486,6440.995063673262,7907.004305518036,False
2017-06-07,-1504.2978728098287,2497.959015059433,9.181960453246827,0.9078885797717551,2.5510278731359053,6372.363073367726,7804.802614876678,False
2017-06-08,-1937.583930087755,2449.731722877059,9.103751158798197,0.9014460495360046,2.5373562184831733,6215.842020657603,7618.344243077826,False
2017-06-09,-3456.051554735968,2422.0587594797476,8.922055322422493,0.8958215390258051,2.5321055437039477,6132.908412055375,7529.153828230691,False
2017-06-12,-64.81778542540286,2496.206063588492,8.839900670662036,0.8904727696952925,2.5219101557677597,6295.207422652879,7734.394973626819,False
2017-06-13,1317.1924957706692,2420.213644060566,8.432100739274428,0.8808066765075597,2.5203801192969957,6099.8583529415855,7525.279408927371,False
2017-06-14,3718.740852668845,2368.5625642905675,8.186456857827293,0.8725679846180565,2.513701194373023,5953.85854680443,7365.128539506078,False
2017-06-15,-1458.7167148026324,2470.4708276712577,8.273652490820334,0.8745903466966288,2.513378540963408,6209.228364345049,7673.463134264023,False
2017-06-16,-553.8170829270107,2421.715164344888,8.35945893496768,0.8746800032730786,2.507733988713803,6073.017428611308,7498.034867837591,False
2017-06-19,1610.7844821616757,2351.855703683658,8.25181161165302,0.8712969202436162,2.505433790427236,5892.418750218061,7283.72574200832,False
2017-06-20,-452.5376911360736,2314.0936217968783,8.140535785981719,0.8687471545983845,2.5059736015962746,5799.057527845291,7177.431650309729,False
2017-06-21,846.5115241019728,2246.333730135592,8.033633664467567,0.8655564250752966,2.5045497077806975,5626.054487389021,6972.087073154742,False
2017-06-22,1594.3213689127324,2187.74993009032,8.0431494776455,0.8638953600971808,2.4990420565926716,5467.279084603387,6774.553797130313,False
2017-06-23,486.6835614357634,2156.75363615924,8.023228531407444,0.8639730156974975,2.500737128044967,5393.473893989398,6684.695732966081,False
2017-06-26,830.0255413663249,2094.445760475221,7.959921867280155,0.8614342162818716,2.498106341631235,5232.148236445804,6489.727984351077,False
2017-06-27,-4920.994381944127,2040.7932917634696,7.665456832569472,0.8522883955238538,2.494521104664252,5090.801936561205,6338.2692872582165,False
2017-06-28,4140.839028194665,2316.876884515802,7.602651870691114,0.8613440462787731,2.526251252359843,5853.013131071616,7293.45253457914,False
2017-06-29,-4676.240876101357,2464.677562003633,7.632751286806301,0.8682369993883247,2.5439302025946415,6269.967689638369,7809.821784719711,False
2017-06-30,428.7863218317757,2649.941602970165,7.9002133825832015,0.882149047319277,2.5628199618416456,6791.323237806588,8429.87569881055,False
2017-07-03,-3319.324738409668,2571.359675519788,7.626715589851849,0.8752768465617573,2.565067923832368,6595.712224311815,8216.23866012176,False
2017-07-05,103.93871868329404,2622.260965054168,7.943836969703148,0.8820869452848188,2.559240128276618,6710.995488579998,8325.66865853927,False
2017-07-06,-5066.315902364465,2542.5038982966535,7.852755275022737,0.8781323382802216,2.5548836814630356,6495.801719814273,8067.858946344111,False
2017-07-07,-336.15999100658496,2759.8041462975816,7.818634757587057,0.8872360657442191,2.5841163858975595,7131.655116315606,8861.438842176089,False
2017-07-10,588.5588417741338,2676.99608930433,7.813850395498722,0.8868378719585956,2.5833437857977386,6915.601211909188,8593.506806867868,False
2017-07-12,6236.532328699528,2599.444750903677,7.50101973972146,0.8822655358373862,2.5965043985751133,6749.469729574386,8422.413248288216,False
2017-07-13,-2698.357414650876,2947.091093987206,7.437715773155123,0.8939867144936315,2.6367634003405613,7770.78193409509,9705.6320378935,False
2017-07-14,2499.3366468723634,2932.762009167197,7.614478222306481,0.8993686888305265,2.636738638525828,7732.926907171787,9634.462483773252,False
2017-07-17,2717.675253806795,2908.578395235599,7.774262244716939,0.9044766944071894,2.6380151228719777,7672.873792690219,9539.374842054181,False
