date,actual_pnl_eur,ewma_volatility_eur,ewma_var_eur,ewma_exception
2016-12-30,1654.6116556362012,3356.3167216819147,7807.960270092446,False
2017-01-03,2194.1066211462858,3279.212497525155,7628.5890221458,False
2017-01-04,2403.266441930962,3224.4203757554824,7501.1234861527355,False
2017-01-05,8378.931017735753,3181.134220599091,7400.424831129262,False
2017-01-06,-965.6878864533036,3704.7033799883384,8618.428831987789,False
2017-01-09,1420.9026607935048,3599.623687459254,8373.976912667888,False
2017-01-10,1519.8296909485043,3507.276879877848,8159.1461131764245,False
2017-01-11,1497.0796939716258,3420.7491259616622,7957.852456807977,False
2017-01-12,109.74824849854792,3336.7511091490705,7762.443848972358,False
2017-01-13,-97.59417945348632,3235.211919987006,7526.228372133358,False
2017-01-17,4152.76998823188,3136.745427130522,7297.161055812418,False
2017-01-18,-2789.381500397048,3206.7976981182264,7460.127007496398,False
2017-01-19,-4404.867330015872,3183.296614728576,7405.4553121152285,False
2017-01-20,1286.7718665138138,3269.487126263736,7605.96442538754,False
2017-01-23,4329.287418059768,3185.517260173476,7410.62130592497,False
2017-01-24,-248.23649961142064,3265.4605762222245,7596.597269258751,False
2017-01-25,-3433.9271506367404,3166.5653459157047,7366.532560482399,False
2017-01-26,-207.6888795625564,3183.240371871058,7405.324471663211,False
2017-01-27,-289.6930478464287,3086.685307809146,7180.703803654905,False
2017-01-30,-1238.2224020792312,2993.4936014290033,6963.907475639222,False
2017-01-31,4044.487101558752,2918.104759652958,6788.526803847118,False
2017-02-01,-432.0053113213708,2997.6470472507594,6973.569835496608,False
2017-02-02,198.10799394465164,2908.252441937996,6765.606885476541,False
2017-02-03,1867.2561926230237,2820.0728956379667,6560.470585407582,False
2017-02-06,3790.700271860969,2772.1546150679496,6448.99599527583,False
2017-02-07,1173.3682348840423,2843.5743792482667,6615.1432118412085,False
2017-02-08,4126.281827113954,2771.8888715416115,6448.377783388293,False
2017-02-09,-2854.3250796192297,2871.2258608844913,6679.470177359719,False
2017-02-10,580.3875963221517,2870.2146204017176,6677.117680212475,False
2017-02-13,-1336.6632392225188,2786.405396717352,6482.148270869337,False
2017-02-14,-1398.4789915060023,2721.2886376989804,6330.664036962519,False
2017-02-15,210.48297466964567,2660.5322302258282,6189.323497602993,False
2017-02-16,2780.519254008396,2579.9969046771625,6001.970314227667,False
2017-02-17,2889.7657282066334,2592.4656653020106,6030.976988999206,False
2017-02-21,-123.28763007168892,2611.2583729035023,6074.695364375408,False
2017-02-22,-787.8571654234725,2531.889030553837,5890.054663536244,False
2017-02-23,2605.2386547610995,2462.3317148676506,5728.240150065697,False
2017-02-24,5182.851325557592,2471.1391973128834,5748.729418127816,False
2017-02-27,-2705.762963386704,2711.4302624844318,6307.730026740656,False
2017-02-28,1173.662671152631,2711.090558623876,6306.939757386849,False
2017-03-01,-2026.8705163008103,2644.1747937637124,6151.270410064591,False
2017-03-02,-5148.618280814588,2611.255055517904,6074.687646982474,False
2017-03-03,353.2473654083378,2828.4324278939407,6579.917765499243,False
2017-03-06,-1078.5055063298855,2743.6317575947332,6382.641906431443,False
2017-03-07,-3640.599387617216,2673.1357533122873,6218.643676740601,False
2017-03-08,-3189.512047988802,2740.83076901245,6376.125832597836,False
2017-03-09,-3276.7642558982348,2769.802038478452,6443.523083728333,False
2017-03-10,2844.5790741797096,2802.806838107426,6520.303729178341,False
2017-03-13,369.0258401243925,2805.3307127668368,6526.175139626607,False
2017-03-14,-1047.1368038551475,2721.3706817988036,6330.85490007972,False
2017-03-15,7895.1418314411,2650.9048669554545,6166.92690152634,False
2017-03-16,973.1180013186124,3216.4661803201766,7482.619260512106,False
2017-03-17,2463.248807714713,3127.576206340028,7275.830258519842,False
2017-03-20,1093.408931924744,3091.7445936232975,7192.473462452821,False
2017-03-21,498.75189228388297,3009.4989848497576,7001.1415653333015,False
2017-03-22,3546.315630983188,2920.373999751817,6793.805845726786,False
2017-03-23,-1303.50983312858,2961.6634707194826,6889.859518732686,False
2017-03-24,1013.1008724935218,2889.136853122449,6721.137376074454,False
2017-03-27,3171.2740048308765,2812.0930733844675,6541.90674287293,False
2017-03-28,-586.3762819805772,2834.927536110446,6595.027646690375,False
2017-03-29,1594.0014362423317,2752.3145742341244,6402.841158461177,False
2017-03-30,-3781.822998030864,2696.8818697402426,6273.885404209501,False
2017-03-31,-741.7586871387383,2773.9705516605086,6453.220495507322,False
2017-04-03,3045.949237151852,2695.594595110264,6270.890755610743,False
2017-04-04,-1105.371313665737,2717.889772090614,6322.757093180345,False
2017-04-05,366.4821111576621,2648.965848950339,6162.416071112412,False
2017-04-06,-441.0687852202223,2569.8360673472525,5978.332671906755,False
2017-04-07,-1636.876137198312,2493.8898268877483,5801.655296872394,False
2017-04-10,363.8031699286894,2450.934329974327,5701.725867949488,False
2017-04-11,5014.370461648715,2377.939340951091,5531.914130419648,False
2017-04-12,1832.4922491185,2612.269979593922,6077.048713449031,False
2017-04-13,1133.7569525277256,2572.1584029944825,5983.735232502499,False
2017-04-17,-275.65345680944915,2509.215656083333,5837.308507039455,False
2017-04-18,4530.501219397426,2433.7116727140765,5661.65997584677,False
2017-04-19,-1845.3289836842464,2607.508740826797,6065.972415765328,False
2017-04-20,902.0312230456184,2568.164727380305,5974.444553727848,False
2017-04-21,-368.33265437500313,2499.712279960173,5815.200348199131,False
2017-04-24,3218.863021459895,2425.239767586991,5641.9513773653,False
2017-04-25,-3843.265992991413,2480.029315053272,5769.410924633142,False
2017-04-26,3400.750369748884,2582.1995060190898,6007.094331176819,False
2017-04-27,-800.5372936763622,2638.483506901822,6138.030496972875,False
2017-04-28,-226.91987381794905,2565.609303992983,5968.4997499634765,False
2017-05-01,-2434.0129987094224,2488.0714604768186,5788.119752541937,False
2017-05-02,1631.6163145669916,2484.8611175609153,5780.651378124583,False
2017-05-03,-1710.1369760933571,2442.0878352405302,5681.1458437328065,False
2017-05-04,-3551.3543557191388,2404.4624189094948,5593.616036441201,False
2017-05-05,3239.274092697042,2488.228329174055,5788.484683702256,False
2017-05-08,-2305.7603631094767,2539.5624040127736,5907.905599569162,False
2017-05-09,-1835.63148049436,2526.1445767746186,5876.691065699433,False
2017-05-10,-661.1611707642684,2490.1193974050025,5792.883966260987,False
2017-05-11,-211.78927241684585,2419.68613298425,5629.031691314013,False
2017-05-12,2166.689109018754,2346.546271647237,5458.882930385011,False
2017-05-15,2110.7010184610363,2336.1453598590747,5434.686791358533,False
2017-05-16,2536.3963480774632,2323.235709351842,5404.654453346423,False
2017-05-17,4705.856932883684,2336.573794599164,5435.683479605305,False
2017-05-18,1245.1565681796003,2541.7922495981534,5913.09299610615,False
2017-05-19,2309.112791264068,2483.161344429123,5776.697114513086,False
2017-05-22,2715.708340833389,2473.0638810361897,5753.2069020157305,False
2017-05-23,-1809.0388797445896,2488.2898885887384,5788.627892315732,False
2017-05-24,1804.38185828834,2452.8450166244565,5706.170789775975,False
2017-05-25,2052.4359027652376,2418.8446391771145,5627.074083984765,False
2017-05-26,1431.4326267888312,2398.4391618852646,5579.603845268081,False
2017-05-30,-690.9357002714,2351.658935809173,5470.776765788815,False
2017-05-31,2053.051662284727,2286.290728202219,5318.707574992517,False
2017-06-01,3430.083401889794,2272.971412911352,5287.72221418193,False
2017-06-02,4996.589322038748,2358.4620899884458,5486.603269050539,False
2017-06-05,-739.1931288814881,2593.5607020666735,6033.524425448676,False
2017-06-06,2097.471307687932,2521.060903130553,5864.864672325244,False
2017-06-07,-1504.2978728098287,2497.6721854259167,5810.454378616522,False
2017-06-08,-1937.583930087755,2449.4568970503783,5698.288845007822,False
2017-06-09,-3456.051554735968,2421.797397439608,5633.943226891273,False
2017-06-12,-64.81778542540286,2495.967551297514,5806.488806635895,False
2017-06-13,1317.1924957706692,2419.9824083701,5629.720930928016,False
2017-06-14,3718.740852668845,2368.340290090589,5509.58339885751,False
2017-06-15,-1458.7167148026324,2470.2703491004563,5746.708174935972,False
2017-06-16,-553.8170829270107,2421.5228119984467,5633.304445633985,False
2017-06-19,1610.7844821616757,2351.669442538139,5470.801208095409,False
2017-06-20,-452.5376911360736,2313.9156890059658,5382.972843828776,False
2017-06-21,846.5115241019728,2246.1613674427313,5225.352721903066,False
2017-06-22,1594.3213689127324,2187.583447757574,5089.080102977765,False
2017-06-23,486.6835614357634,2156.5949313886085,5016.990033803142,False
2017-06-26,830.0255413663249,2094.2920640502566,4872.051890823919,False
2017-06-27,-4920.994381944127,2040.6450545184175,4747.250284250877,True
2017-06-28,4140.839028194665,2316.754075564815,5389.575918365661,False
2017-06-29,-4676.240876101357,2464.569201968693,5733.4453234264,False
2017-06-30,428.7863218317757,2649.8469755995916,6164.465878219661,False
2017-07-03,-3319.324738409668,2571.2679979022114,5981.663840509059,False
2017-07-05,103.93871868329404,2622.1763810153902,6100.094449335259,False
2017-07-06,-5066.315902364465,2542.4218041466215,5914.557558991572,False
2017-07-07,-336.15999100658496,2759.733233800177,6420.099541370896,False
2017-07-10,588.5588417741338,2676.9273585231863,6227.464269462178,False
2017-07-12,6236.532328699528,2599.3783426917976,6047.058281348867,False
2017-07-13,-2698.357414650876,2947.0361096468914,6855.831188398636,False
2017-07-14,2499.3366468723634,2932.710092372071,6822.503888567885,False
2017-07-17,2717.675253806795,2908.529215464559,6766.250756981652,False
2017-07-18,3782.554316687636,2897.4325173310676,6740.4359768699305,False
2017-07-19,2749.8190691207296,2958.018138967326,6881.379208960883,False
2017-07-20,811.2697409254577,2945.9411614297615,6853.28395794153,False
2017-07-21,4081.295921482753,2863.1005365795722,6660.5678464370785,False
2017-07-24,-256.15375519550395,2950.4105791450793,6863.681378341761,False
2017-07-25,-4521.642355571987,2861.217243618068,6656.186651859887,False
2017-07-26,1804.2360561642656,2986.9859798413636,6948.768483993754,False
2017-07-27,-390.11075588887286,2929.5180821979106,6815.078162485311,False
2017-07-28,1940.832044401414,2841.8801534196796,6611.20185318673,False
2017-07-31,1299.26623066291,2796.0178074345567,6504.510082105714,False
2017-08-01,3847.159129273504,2729.457493534225,6349.667637368186,False
2017-08-02,-238.3726058524216,2809.088805720933,6534.917771180817,False
2017-08-03,3530.3180358138006,2724.1384717510805,6337.293742350991,False
2017-08-04,-2690.833302288048,2779.1119650919736,6465.181211713176,False
2017-08-07,-1167.219194273555,2773.894472990721,6453.043510055602,False
2017-08-08,-873.0207867925219,2704.5452766223007,6291.713154517487,False
2017-08-09,2656.538552805981,2630.8593960438684,6120.294162887024,False
2017-08-10,263.3374754317464,2632.407209570707,6123.894915594597,False
2017-08-11,1371.7591994872437,2553.0284862370513,5939.23239132327,False
2017-08-14,812.0805905789116,2497.9552803299434,5811.112955844656,False
2017-08-15,-3291.8020097107374,2430.0128066971674,5653.055126751972,False
2017-08-16,2054.5213630000835,2490.145002713221,5792.943533115325,False
2017-08-17,-328.6364659173256,2466.1784786034427,5737.189060704394,False
2017-08-18,-1692.5881029378088,2392.403441443567,5565.562659850233,False
2017-08-21,2190.199161402129,2356.2830564695646,5481.534079056426,False
2017-08-22,1731.4576963100349,2346.6495251037377,5459.123133844028,False
2017-08-23,866.548484351232,2314.3540998075673,5383.992739865038,False
2017-08-24,-1230.9133492525823,2253.8667178611536,5243.278047467702,False
2017-08-25,2051.9248458974125,2205.9077794348896,5131.708873018507,False
2017-08-28,4740.892947198872,2196.9731718620856,5110.923867686125,False
2017-08-29,1129.0517388392375,2426.036604632512,5643.805097532104,False
2017-08-30,1128.249400180392,2368.332717405725,5509.565782158175,False
2017-08-31,2871.472374707396,2312.755212134385,5380.2731709257005,False
2017-09-01,-1369.181634279837,2350.0271672689114,5466.980704514252,False
2017-09-05,4342.366574539647,2302.9870877941944,5357.549115633531,False
2017-09-06,-1237.0117758158997,2473.2354119684464,5753.605942635319,False
2017-09-07,4663.9744224584,2416.9591818738436,5622.6878543957055,False
2017-09-08,567.9212438579607,2606.980941709085,6064.744571409919,False
2017-09-11,-3191.3835816897217,2531.3871147973077,5888.887032883094,False
2017-09-12,-1263.1029661066882,2575.7603210300535,5992.114546867018,False
2017-09-13,-1935.137600203968,2516.385205744248,5853.987373650955,False
2017-09-14,408.874917866464,2485.3467133119666,5781.781042767684,False
2017-09-15,227.90752192816683,2411.7135215767184,5610.484623715548,False
2017-09-18,-2332.4026371610407,2338.9093385293295,5441.116767261975,False
2017-09-19,197.4606071440731,2338.5194469874027,5440.209743902307,False
2017-09-20,-342.65920848148846,2267.7945791416805,5275.679097947592,False
2017-09-21,-3985.934658296669,2200.309895897112,5118.686248551269,False
2017-09-22,2830.5430457928,2346.090860498889,5457.823485628237,False
2017-09-25,2629.2470705481687,2377.9428551204874,5531.922305600153,False
2017-09-26,-3266.884653435387,2393.7652137092796,5568.730615865501,False
2017-09-27,-6133.6711122020215,2454.9251118504308,5711.009814882723,True
2017-09-28,-924.3291717202508,2814.671054540103,6547.90402385366,False
2017-09-29,1327.0774900290155,2738.301265677596,6370.241327892419,False
2017-10-02,-29.49205135016075,2674.7082592662946,6222.301872623622,False
2017-10-03,-346.9937394002253,2593.2359327145036,6032.768898956702,False
2017-10-04,977.8702269805706,2515.671784209804,5852.3277069810065,False
2017-10-05,-292.1902312180147,2450.7676481392677,5701.3381080168565,False
2017-10-06,-1186.0567993684458,2377.185068338026,5530.159429929798,False
