bond,curve_node,benchmark_yield,face_value_eur,coupon_rate,price_eur,macaulay_duration,modified_duration,convexity,approximate_dv01_eur,exact_dv01_eur
2Y Treasury,2Y,0.0415,100000,0.04,99714.93935337398,1.9418464684101584,1.9023722443401012,4.613056978894451,18.969493297191516,18.96949352138472
5Y Treasury,5Y,0.0432,100000,0.0425,99688.22521439951,4.556035686106247,4.459706035734384,23.251807816514376,44.45801796803061,44.458020200596366
10Y Treasury,10Y,0.0463,100000,0.045,98968.76952745552,8.149996063293084,7.965592594725196,75.97259072706264,78.83448976569643,78.8345027477626
