date,actual_pnl_eur,student_t_degrees_of_freedom,student_t_scale_eur,student_t_var_eur,student_t_es_eur,student_t_exception
2016-12-30,1654.6116556362012,8.533029305849874,2946.1728336719375,8408.002984158935,10361.787376229953,False
2017-01-03,2194.1066211462858,8.625056634677616,2951.5369775622003,8403.472860320586,10346.450115215073,False
2017-01-04,2403.266441930962,8.70789582283761,2956.4411716412387,8399.973165289388,10333.580556865374,False
2017-01-05,8378.931017735753,8.634969265738913,2951.8613909558208,8402.289266602542,10343.957557746307,False
2017-01-06,-965.6878864533036,8.570756933414838,2986.1939570117006,8513.927737120435,10488.242970000709,False
2017-01-09,1420.9026607935048,8.135224675472905,2955.9817950134684,8528.076265222579,10555.759953695535,False
2017-01-10,1519.8296909485043,7.779211582777332,2928.7066174311985,8540.586385687979,10617.486678670088,False
2017-01-11,1497.0796939716258,7.604232056480877,2915.5998980699715,8550.76534496627,10654.897403912984,False
2017-01-12,109.74824849854792,7.691550176449154,2921.806854439209,8544.431453698659,10634.483646573643,False
2017-01-13,-97.59417945348632,7.686403368867224,2921.449832791087,8544.814847277676,10635.689002335832,False
2017-01-17,4152.76998823188,7.68656990495378,2921.4612708496634,8544.802077177756,10635.649526491556,False
2017-01-18,-2789.381500397048,7.924990833882762,2941.495301838144,8539.176908041502,10596.175816494213,False
2017-01-19,-4404.867330015872,8.153053915320669,2957.1362227114246,8527.048014511265,10552.306530383801,False
2017-01-20,1286.7718665138138,8.322428641643718,2971.467023691105,8527.878382541245,10533.19182736079,False
2017-01-23,4329.287418059768,8.260272851570027,2967.5656840915085,8531.292291966278,10544.6842653886,False
2017-01-24,-248.23649961142064,8.287645743758748,2957.6834622891265,8496.437431141378,10498.39595959099,False
2017-01-25,-3433.9271506367404,8.119128395356316,2946.9477151243823,8505.953929553207,10530.351743247737,False
2017-01-26,-207.6888795625564,8.471334245246663,2970.5319208435935,8491.194952777229,10471.066417676146,False
2017-01-27,-289.6930478464287,9.180935775810337,2952.3458288320435,8295.82790210747,10160.732718412011,False
2017-01-30,-1238.2224020792312,9.066079779306133,2946.4791344792916,8300.718788769595,10177.066696839327,False
2017-01-31,4044.487101558752,8.87189658225778,2935.8620660849056,8308.298421895413,10204.610136229594,False
2017-02-01,-432.0053113213708,9.36299175137245,2964.4733717382633,8297.080506086977,10146.508421472157,False
2017-02-02,198.10799394465164,8.931127478334208,2921.5316746841063,8256.162165576332,10134.940023173005,False
2017-02-03,1867.2561926230237,8.932996157400813,2921.629170648328,8256.075212811793,10134.657019963344,False
2017-02-06,3790.700271860969,8.581685830941773,2898.49635019006,8261.578016118354,10176.235537890016,False
2017-02-07,1173.3682348840423,9.03021219682542,2925.7466577243367,8249.070492683959,10117.01892280961,False
