model,actual_exceptions,observed_exception_rate,absolute_exception_rate_gap,kupiec_p_value,independence_p_value,conditional_coverage_lr,conditional_coverage_p_value,passes_unconditional_coverage,passes_independence,passes_conditional_coverage,frequency_rank,independence_rank,overall_diagnostic_rank
Weighted Historical Simulation,35,0.014559068219633943,0.004559068219633934,0.03542490534126842,0.0013766306594309402,14.661418463713915,0.0006551087982941321,False,False,False,1,4,1
Historical Simulation,41,0.0170549084858569,0.0070549084858568915,0.0015849994378741,0.004919637657768,17.88583584703781,0.0001306592297658,False,False,False,2,2,2
EWMA Parametric Normal,47,0.019550748752079867,0.009550748752079858,3.154308204384136e-05,0.07696037681386127,20.450445950888763,3.62444977118272e-05,False,True,False,5,1,3
Monte Carlo Normal,45,0.018718801996672214,0.008718801996672205,0.0001267141471581615,0.0013250410966003567,24.997352973267084,3.7315887127706464e-06,False,False,False,3,5,4
Parametric Normal,46,0.019134775374376,0.00913477537437599,6.387663036608305e-05,0.00164297037517,25.895066421171805,2.3820878413122467e-06,False,False,False,4,3,5
