statistic,degrees_of_freedom,forecast_volatility_eur,var_eur
Minimum,3.151586544186731,1836.4799279724352,4139.139754998151
25th percentile,6.217565158649089,3075.5948863710505,7740.215123896958
Median,10.62718211781647,3812.0240174084765,10085.035895730118
75th percentile,22.72979237517904,4906.209230489784,13002.074188974311
Maximum,40854991864555.11,13808.5690318248,42692.022683127165
