date,actual_pnl_eur,whs_var_eur,whs_es_eur,whs_exception
2016-12-30,1654.6116556362012,10777.18057957142,11076.040780553112,False
2017-01-03,2194.1066211462858,10777.18057957142,11073.052178543296,False
2017-01-04,2403.266441930962,10777.18057957142,11070.093462553576,False
2017-01-05,8378.931017735753,10777.18057957142,11067.164333723755,False
2017-01-06,-965.6878864533036,10777.18057957142,11064.264496182232,False
2017-01-09,1420.9026607935048,10777.18057957142,11061.393657016122,False
2017-01-10,1519.8296909485043,10777.18057957142,11058.551526241676,False
2017-01-11,1497.0796939716258,10777.18057957142,11055.737816774972,False
2017-01-12,109.74824849854792,10777.18057957142,11052.952244402939,False
2017-01-13,-97.59417945348632,10777.18057957142,11050.194527754624,False
2017-01-17,4152.76998823188,10777.18057957142,11047.46438827279,False
2017-01-18,-2789.381500397048,10777.18057957142,11044.761550185776,False
2017-01-19,-4404.867330015872,10777.18057957142,11042.085740479633,False
2017-01-20,1286.7718665138138,10777.18057957142,11039.436688870554,False
2017-01-23,4329.287418059768,10777.18057957142,11036.81412777756,False
2017-01-24,-248.23649961142064,10777.18057957142,11034.2177922955,False
2017-01-25,-3433.9271506367404,10777.18057957142,11031.64742016826,False
2017-01-26,-207.6888795625564,10777.18057957142,11029.102751762288,False
2017-01-27,-289.6930478464287,10777.18057957142,11026.583530040381,False
2017-01-30,-1238.2224020792312,10777.18057957142,11024.089500535692,False
2017-01-31,4044.487101558752,10777.18057957142,11021.62041132605,False
2017-02-01,-432.0053113213708,10777.18057957142,11019.176013008502,False
2017-02-02,198.10799394465164,10777.18057957142,11016.756058674131,False
2017-02-03,1867.2561926230237,10777.18057957142,11014.360303883104,False
2017-02-06,3790.700271860969,10777.18057957142,11011.988506639987,False
2017-02-07,1173.3682348840423,10422.367447170063,11006.740848431706,False
2017-02-08,4126.281827113954,10422.367447170063,11000.89711441909,False
2017-02-09,-2854.3250796192297,10422.367447170063,10995.111817746598,False
2017-02-10,580.3875963221517,10422.367447170063,10989.384374040834,False
2017-02-13,-1336.6632392225188,10422.367447170063,10983.714204772125,False
2017-02-14,-1398.4789915060023,10422.367447170063,10978.100737196104,False
2017-02-15,210.48297466964567,10422.367447170063,10972.543404295842,False
2017-02-16,2780.519254008396,10422.367447170063,10967.041644724586,False
2017-02-17,2889.7657282066334,10422.367447170063,10961.59490274904,False
2017-02-21,-123.28763007168892,10422.367447170063,10956.20262819325,False
2017-02-22,-787.8571654234725,10422.367447170063,10950.864276383018,False
2017-02-23,2605.2386547610995,10422.367447170063,10945.57930809089,False
2017-02-24,5182.851325557592,10422.367447170063,10940.347189481681,False
2017-02-27,-2705.762963386704,10422.367447170063,10935.167392058565,False
2017-02-28,1173.662671152631,10422.367447170063,10930.03939260968,False
2017-03-01,-2026.8705163008103,10422.367447170063,10924.962673155282,False
2017-03-02,-5148.618280814588,10422.367447170063,10919.93672089543,False
2017-03-03,353.2473654083378,10422.367447170063,10914.961028158177,False
2017-03-06,-1078.5055063298855,10422.367447170063,10910.035092348298,False
2017-03-07,-3640.599387617216,10422.367447170063,10905.158415896514,False
2017-03-08,-3189.512047988802,10422.367447170063,10900.33050620925,False
2017-03-09,-3276.7642558982348,10422.367447170063,10895.550875618857,False
2017-03-10,2844.5790741797096,10422.367447170063,10890.81904133437,False
2017-03-13,369.0258401243925,10422.367447170063,10886.134525392727,False
2017-03-14,-1047.1368038551475,10422.367447170063,10881.4968546105,False
2017-03-15,7895.1418314411,10422.367447170063,10876.905560536097,False
2017-03-16,973.1180013186124,10422.367447170063,10872.360179402436,False
2017-03-17,2463.248807714713,10422.367447170063,10867.860252080112,False
2017-03-20,1093.408931924744,10422.367447170063,10863.405324031011,False
2017-03-21,498.75189228388297,10422.367447170063,10858.994945262402,False
2017-03-22,3546.315630983188,10422.367447170063,10854.628670281478,False
2017-03-23,-1303.50983312858,10422.367447170063,10850.306058050364,False
2017-03-24,1013.1008724935218,10422.367447170063,10846.02667194156,False
2017-03-27,3171.2740048308765,10422.367447170063,10841.790079693847,False
2017-03-28,-586.3762819805772,10422.367447170063,10837.595853368608,False
2017-03-29,1594.0014362423317,10422.367447170063,10833.443569306623,False
2017-03-30,-3781.822998030864,10422.367447170063,10829.332808085257,False
2017-03-31,-741.7586871387383,10422.367447170063,10825.263154476106,False
2017-04-03,3045.949237151852,7953.905469717964,10804.174014742899,False
2017-04-04,-1105.371313665737,7953.905469717964,10775.671329292649,False
2017-04-05,366.4821111576621,7953.905469717964,10747.453670696903,False
2017-04-06,-441.0687852202223,7953.905469717964,10719.518188687114,False
2017-04-07,-1636.876137198312,7953.905469717964,10691.862061497422,False
2017-04-10,363.8031699286894,7953.905469717964,10664.482495579628,False
2017-04-11,5014.370461648715,7953.905469717964,10637.376725321012,False
2017-04-12,1832.4922491185,7953.905469717964,10610.542012764981,False
2017-04-13,1133.7569525277256,7953.905469717964,10583.97564733451,False
2017-04-17,-275.65345680944915,7953.905469717964,10557.674945558345,False
2017-04-18,4530.501219397426,7953.905469717964,10531.63725079994,False
2017-04-19,-1845.3289836842464,7953.905469717964,10505.859932989122,False
2017-04-20,902.0312230456184,7953.905469717964,10480.34038835641,False
2017-04-21,-368.33265437500313,7953.905469717964,10455.076039170024,False
2017-04-24,3218.863021459895,7953.905469717964,10430.064333475504,False
2017-04-25,-3843.265992991413,7953.905469717964,10405.302744837927,False
2017-04-26,3400.750369748884,7953.905469717964,10380.78877208673,False
2017-04-27,-800.5372936763622,7953.905469717964,10356.519939063042,False
2017-04-28,-226.91987381794905,7953.905469717964,10332.493794369591,False
2017-05-01,-2434.0129987094224,7953.905469717964,10308.707911123074,False
2017-05-02,1631.6163145669916,7953.905469717964,10285.159886709023,False
2017-05-03,-1710.1369760933571,7953.905469717964,10261.847342539113,False
2017-05-04,-3551.3543557191388,7953.905469717964,10238.767923810903,False
2017-05-05,3239.274092697042,7953.905469717964,10215.919299269972,False
2017-05-08,-2305.7603631094767,7849.6775297271615,10192.658599303706,False
2017-05-09,-1835.63148049436,7849.6775297271615,10169.228788607941,False
2017-05-10,-661.1611707642684,7849.6775297271615,10146.033276019134,False
2017-05-11,-211.78927241684585,7849.6775297271615,10123.069718556213,False
2017-05-12,2166.689109018754,7849.6775297271615,10100.335796667923,False
2017-05-15,2110.7010184610363,7849.6775297271615,10077.829213998515,False
2017-05-16,2536.3963480774632,7849.6775297271615,10055.547697155802,False
2017-05-17,4705.856932883684,7849.6775297271615,10033.488995481517,False
2017-05-18,1245.1565681796003,7849.6775297271615,10011.650880823972,False
2017-05-19,2309.112791264068,7849.6775297271615,9990.031147313004,False
2017-05-22,2715.708340833389,7849.6775297271615,9968.627611137144,False
2017-05-23,-1809.0388797445896,7849.6775297271615,9947.438110323046,False
2017-05-24,1804.38185828834,7849.6775297271615,9926.460504517087,False
2017-05-25,2052.4359027652376,7849.6775297271615,9905.692674769187,False
2017-05-26,1431.4326267888312,7849.6775297271615,9885.132523318769,False
2017-05-30,-690.9357002714,7849.6775297271615,9864.777973382852,False
2017-05-31,2053.051662284727,7849.6775297271615,9844.626968946293,False
2017-06-01,3430.083401889794,7849.6775297271615,9824.677474554102,False
2017-06-02,4996.589322038748,7849.6775297271615,9804.927475105835,False
2017-06-05,-739.1931288814881,7849.6775297271615,9785.374975652046,False
2017-06-06,2097.471307687932,7849.6775297271615,9766.018001192797,False
2017-06-07,-1504.2978728098287,7849.6775297271615,9746.85459647814,False
2017-06-08,-1937.583930087755,7849.6775297271615,9727.88282581063,False
2017-06-09,-3456.051554735968,7849.6775297271615,9709.100772849797,False
2017-06-12,-64.81778542540286,7849.6775297271615,9690.50654041857,False
2017-06-13,1317.1924957706692,7849.6775297271615,9672.098250311657,False
2017-06-14,3718.740852668845,7849.6775297271615,9653.874043105812,False
2017-06-15,-1458.7167148026324,7849.6775297271615,9635.832077972025,False
2017-06-16,-553.8170829270107,7849.6775297271615,9617.970532489577,False
2017-06-19,1610.7844821616757,7849.6775297271615,9600.287602461953,False
2017-06-20,-452.5376911360736,7849.6775297271615,9582.781501734604,False
2017-06-21,846.5115241019728,7849.6775297271615,9565.45046201453,False
2017-06-22,1594.3213689127324,7849.6775297271615,9548.292732691656,False
2017-06-23,486.6835614357634,7849.6775297271615,9531.306580662012,False
2017-06-26,830.0255413663249,7827.615787587722,9514.443454413466,False
2017-06-27,-4920.994381944127,7827.615787587722,9497.575177745208,False
2017-06-28,4140.839028194665,7827.615787587722,9480.875583843632,False
2017-06-29,-4676.240876101357,7827.615787587722,9464.342985881074,False
2017-06-30,428.7863218317757,7827.615787587722,9447.975713898142,False
2017-07-03,-3319.324738409668,7827.615787587722,9431.772114635036,False
2017-07-05,103.93871868329404,7827.615787587722,9415.730551364562,False
2017-07-06,-5066.315902364465,7827.615787587722,9399.849403726796,False
2017-07-07,-336.15999100658496,7827.615787587722,9384.127067565405,False
2017-07-10,588.5588417741338,7827.615787587722,9368.561954765626,False
2017-07-12,6236.532328699528,7827.615787587722,9353.152493093847,False
2017-07-13,-2698.357414650876,7827.615787587722,9337.897126038786,False
2017-07-14,2499.3366468723634,7827.615787587722,9322.794312654276,False
2017-07-17,2717.675253806795,7827.615787587722,9307.842527403609,False
2017-07-18,3782.554316687636,7827.615787587722,9293.040260005451,False
2017-07-19,2749.8190691207296,7827.615787587722,9278.386015281274,False
2017-07-20,811.2697409254577,7827.615787587722,9263.878313004338,False
2017-07-21,4081.295921482753,7827.615787587722,9249.515687750172,False
2017-07-24,-256.15375519550395,7827.615787587722,9235.296688748549,False
2017-07-25,-4521.642355571987,7827.615787587722,9221.21987973694,False
2017-07-26,1804.2360561642656,7827.615787587722,9207.283838815449,False
2017-07-27,-390.11075588887286,6961.517321447818,9189.54876234498,False
2017-07-28,1940.832044401414,6961.517321447818,9167.26844793601,False
2017-07-31,1299.26623066291,6961.517321447818,9145.210936671128,False
2017-08-01,3847.159129273504,6961.517321447818,9123.374000518894,False
2017-08-02,-238.3726058524216,6961.517321447818,9101.755433728184,False
2017-08-03,3530.3180358138006,6961.517321447818,9080.353052605382,False
2017-08-04,-2690.833302288048,6961.517321447818,9059.164695293804,False
2017-08-07,-1167.219194273555,6961.517321447818,9038.188221555345,False
2017-08-08,-873.0207867925219,6961.517321447818,9017.42151255427,False
2017-08-09,2656.538552805981,6961.517321447818,8996.862470643206,False
2017-08-10,263.3374754317464,6961.517321447818,8976.509019151252,False
2017-08-11,1371.7591994872437,6961.517321447818,8956.359102174216,False
2017-08-14,812.0805905789116,6961.517321447818,8936.410684366952,False
2017-08-15,-3291.8020097107374,6961.517321447818,8916.661750737761,False
2017-08-16,2054.5213630000835,6961.517321447818,8897.110306444862,False
2017-08-17,-328.6364659173256,6961.517321447818,8877.75437659489,False
2017-08-18,-1692.5881029378088,6961.517321447818,8858.592006043422,False
2017-08-21,2190.199161402129,6961.517321447818,8839.621259197465,False
2017-08-22,1731.4576963100349,6961.517321447818,8820.84021981997,False
2017-08-23,866.548484351232,6407.567141241161,8801.630147741813,False
2017-08-24,-1230.9133492525823,6407.567141241161,8777.689517676807,False
2017-08-25,2051.9248458974125,6407.567141241161,8753.98829391245,False
2017-08-28,4740.892947198872,6407.567141241161,8730.524082385737,False
2017-08-29,1129.0517388392375,6407.567141241161,8707.294512974293,False
2017-08-30,1128.249400180392,6407.567141241161,8684.29723925696,False
2017-08-31,2871.472374707396,6407.567141241161,8661.529938276803,False
2017-09-01,-1369.181634279837,6407.567141241161,8638.990310306448,False
2017-09-05,4342.366574539647,6407.567141241161,8616.676078615794,False
2017-09-06,-1237.0117758158997,6407.567141241161,8594.584989242047,False
2017-09-07,4663.9744224584,6407.567141241161,8572.714810762038,False
2017-09-08,567.9212438579607,6407.567141241161,8551.063334066828,False
2017-09-11,-3191.3835816897217,6148.444957443916,8082.6017280457945,False
2017-09-12,-1263.1029661066882,6148.444957443916,8063.260160339774,False
2017-09-13,-1935.137600203968,5597.5650610394,7881.271807216464,False
2017-09-14,408.874917866464,5597.5650610394,7858.4347397546935,False
2017-09-15,227.90752192816683,5597.5650610394,7835.826042967541,False
2017-09-18,-2332.4026371610407,5597.5650610394,7813.443433148261,False
2017-09-19,197.4606071440731,5597.5650610394,7791.284649427172,False
2017-09-20,-342.65920848148846,5597.5650610394,7769.347453543294,False
2017-09-21,-3985.934658296669,5597.5650610394,7747.6296296182545,False
2017-09-22,2830.5430457928,5597.5650610394,7726.1289839324645,False
2017-09-25,2629.2470705481687,5597.5650610394,7704.843344703535,False
2017-09-26,-3266.884653435387,5597.5650610394,7683.770561866893,False
2017-09-27,-6133.6711122020215,5427.547278686596,7662.234267748951,True
2017-09-28,-924.3291717202508,6133.6711122020215,7701.4869239560685,False
2017-09-29,1327.0774900290155,6133.6711122020215,7685.808765838529,False
2017-10-02,-29.49205135016075,6133.6711122020215,7670.287389302163,False
2017-10-03,-346.9937394002253,6133.6711122020215,7654.921226531163,False
2017-10-04,977.8702269805706,6133.6711122020215,7261.408945372663,False
2017-10-05,-292.1902312180147,6133.6711122020215,7250.1315670409585,False
2017-10-06,-1186.0567993684458,6133.6711122020215,7238.9669624925655,False
2017-10-09,2274.5934698799706,6133.6711122020215,7227.914003989661,False
2017-10-10,1522.5265894597717,6133.6711122020215,7216.971575071786,False
2017-10-11,2698.170279846324,6133.6711122020215,7206.138570443087,False
2017-10-12,1884.2148140975123,6133.6711122020215,7195.413895860675,False
2017-10-13,3032.4112299073167,6133.6711122020215,7184.79646802409,False
2017-10-16,-1210.8756144972365,6133.6711122020215,7174.285214465871,False
2017-10-17,-797.0704827157448,6133.6711122020215,7163.879073443231,False
2017-10-18,-2681.3130608857928,6133.6711122020215,7153.57699383082,False
2017-10-19,1880.0109406793556,6133.6711122020215,7143.377935014532,False
2017-10-20,-1954.287671635274,6133.6711122020215,7133.2808667864065,False
2017-10-23,-1799.427125535874,6133.6711122020215,7123.284769240562,False
2017-10-24,-1905.2792099471585,6133.6711122020215,7113.388632670177,False
2017-10-25,-2649.271783337265,6133.6711122020215,7103.591457465494,False
2017-10-26,-889.1392241145215,6133.6711122020215,7093.8922540128615,False
2017-10-27,1634.4129936968989,6133.6711122020215,7084.290042594753,False
2017-10-30,1664.8707543107262,6133.6711122020215,7074.7838532908245,False
2017-10-31,745.9285983237417,6133.6711122020215,7065.372725879939,False
2017-11-01,2196.971286354832,6133.6711122020215,7056.055709743159,False
2017-11-02,1123.539363238202,6133.6711122020215,7046.831863767747,False
2017-11-03,1512.141943453288,6133.6711122020215,7037.700256252088,False
2017-11-06,1986.3521433542087,6133.6711122020215,7028.659964811589,False
2017-11-07,504.9380904648516,6133.6711122020215,7019.710076285494,False
2017-11-08,82.23880316958753,6133.6711122020215,7010.8496866446585,False
2017-11-09,-1216.9204336475227,6133.6711122020215,6592.480561102224,False
2017-11-10,-4967.60204280387,6133.6711122020215,6438.47202552687,False
2017-11-13,1328.7356770464553,6133.6711122020215,6434.120836599936,False
2017-11-14,1820.0834241474283,6133.6711122020215,6431.116339355958,False
2017-11-15,4015.965071126875,6133.6711122020215,6428.141887084419,False
2017-11-17,2511.372797992817,6133.6711122020215,6425.197179335593,False
2017-11-20,-2358.899840390544,6133.6711122020215,6422.281918664258,False
2017-11-21,2992.5260840282017,6133.6711122020215,6419.395810599636,False
2017-11-22,2063.8928072305275,6133.6711122020215,6416.53856361566,False
2017-11-24,1361.6362261733684,6133.6711122020215,6413.709889101523,False
2017-11-27,1298.4011658120464,6133.6711122020215,6410.909501332529,False
2017-11-28,2552.556862392558,6133.6711122020215,6408.1371174412225,False
2017-11-29,-5005.327977872003,5427.547278686596,6405.087279005015,False
2017-11-30,96.14332608700032,5427.547278686596,6395.311879001831,False
2017-12-01,4917.0926545572975,5148.618280814588,6244.904612429195,False
2017-12-04,-1311.3495158523504,5148.618280814588,6209.337820484554,False
2017-12-05,-337.988248548171,5148.618280814588,6198.730625087854,False
2017-12-06,186.3656990638783,5148.618280814588,6188.229501645121,False
2017-12-07,-4019.3228428405446,5148.618280814588,6177.833389436815,False
2017-12-08,830.5394380162147,5148.618280814588,6167.541238350593,False
2017-12-11,-495.1011680816408,5066.315902364465,6156.871322020256,False
2017-12-12,629.9867234240253,5066.315902364465,6027.655911172129,False
2017-12-13,2927.8809898961813,5066.315902364465,6018.042511084052,False
2017-12-14,1537.0107305811898,5066.315902364465,6008.525244996857,False
2017-12-15,2494.0410288564976,5066.315902364465,5753.586796693912,False
2017-12-18,-990.0267758480852,5066.315902364465,5746.714087750617,False
2017-12-19,-4046.700257286768,5066.315902364465,5739.910105896755,False
2017-12-20,-2083.740681407159,5066.315902364465,5733.174163861433,False
2017-12-21,3098.0138424822385,5066.315902364465,5726.505581246463,False
2017-12-22,778.4018009353522,5066.315902364465,5719.903684457643,False
2017-12-26,1876.5645185332803,5066.315902364465,5713.367806636711,False
2017-12-27,4349.199022995498,5066.315902364465,5706.89728759399,False
2017-12-28,1738.4531412895533,5066.315902364465,5700.491473741694,False
2017-12-29,1195.8547436924814,5066.315902364465,5694.149718027922,False
2018-01-02,1539.101837283241,5066.315902364465,5687.871379871286,False
2018-01-03,3483.838556455704,5066.315902364465,5681.65582509622,False
2018-01-04,896.0261305535622,5066.315902364465,5675.5024258689,False
2018-01-05,1626.628809451336,5005.327977872003,5669.31665050315,False
2018-01-08,-277.600019070573,5005.327977872003,5662.676763776839,False
2018-01-09,-5253.469327935261,5005.327977872003,5656.10327591779,True
2018-01-10,-1072.009152436848,5253.469327935261,5727.447136930489,False
2018-01-11,4001.347800151733,5253.469327935261,5722.707358840538,False
2018-01-12,5392.083461688501,5253.469327935261,5718.014978531486,False
2018-01-16,4405.374228775022,5253.469327935261,5713.369522025524,False
2018-01-17,806.8211018051775,5253.469327935261,5708.77052008462,False
2018-01-18,-4963.288737370308,5253.469327935261,5704.217508163127,False
2018-01-19,1092.536492130358,5253.469327935261,5699.710026360849,False
2018-01-22,2906.982826281357,5253.469327935261,5695.247619376592,False
2018-01-23,2579.737838882312,5253.469327935261,5690.82983646218,False
2018-01-24,986.4230420665864,5253.469327935261,5686.45623137691,False
2018-01-25,2880.5729165554903,5253.469327935261,5682.126362342493,False
2018-01-26,1919.1600124364493,5253.469327935261,5677.839791998421,False
2018-01-29,-4011.647080817244,5253.469327935261,5673.596087357791,False
2018-01-30,-5727.286027490198,5253.469327935261,5669.394819763565,True
2018-01-31,3359.206682918425,5727.286027490198,5917.396590839651,False
2018-02-01,-3991.586303419276,5727.286027490198,5915.495485206156,False
2018-02-02,-8722.707427941023,5727.286027490198,5913.613390628996,True
2018-02-05,-8249.203727373788,8722.707427941023,8722.707427941023,False
2018-02-06,215.74386096752664,8722.707427941023,8722.707427941023,False
2018-02-07,-4695.13174196029,8722.707427941023,8722.707427941023,False
2018-02-08,-11304.932517165142,8722.707427941023,8722.707427941023,True
2018-02-09,1487.419151173275,11304.932517165142,11304.932517165142,False
2018-02-12,5585.219267692821,11304.932517165142,11304.932517165142,False
2018-02-13,3645.4170914653305,11304.932517165142,11304.932517165142,False
2018-02-14,3416.816715669246,11304.932517165142,11304.932517165142,False
2018-02-15,6222.905459316453,11304.932517165142,11304.932517165142,False
2018-02-16,1791.2981528525386,11304.932517165142,11304.932517165142,False
2018-02-20,-6574.380916627943,11304.932517165142,11304.932517165142,False
2018-02-21,-6634.583731402499,11304.932517165142,11304.932517165142,False
2018-02-22,1120.2769398345526,11304.932517165142,11304.932517165142,False
2018-02-23,7189.005745519028,8722.707427941023,11289.690415845324,False
2018-02-26,2732.026911207719,8722.707427941023,11264.020585966282,False
2018-02-27,-4655.990413508176,8722.707427941023,11238.607454386029,False
2018-02-28,-2166.0510739263505,8722.707427941023,11213.448454121579,False
2018-03-01,-2562.0038296217067,8722.707427941023,11188.541043859774,False
2018-03-02,961.189382425298,8722.707427941023,11163.882707700586,False
2018-03-05,2553.814295081253,8722.707427941023,11139.470954902989,False
2018-03-06,2873.9563846123974,8722.707427941023,11115.303319633369,False
2018-03-07,-83.29826203415394,8722.707427941023,11091.377360716446,False
2018-03-08,2548.372801561782,8722.707427941023,11067.690661388693,False
2018-03-09,782.4011114139662,8722.707427941023,11044.240829054215,False
2018-03-12,1450.8171230734945,8722.707427941023,11021.025495043084,False
2018-03-13,689.9169610923241,8722.707427941023,10998.042314372064,False
