window_name,confidence_level,lookback,sample_start,sample_end,var_eur,expected_shortfall_eur,tail_observations,expected_tail_observations
250-day window,0.95,250,2025-08-04,2026-07-31,7665.152514185783,10767.555645932405,13,12.50000000000001
250-day window,0.99,250,2025-08-04,2026-07-31,12669.895738533007,14999.77346984084,3,2.500000000000002
500-day window,0.95,500,2024-08-01,2026-07-31,6937.815014820335,10509.518341800038,25,25.00000000000002
500-day window,0.99,500,2024-08-01,2026-07-31,13423.438371966307,15189.361403602492,5,5.000000000000004
Full sample,0.95,2654,2016-01-05,2026-07-31,6968.702163948424,10196.147760959546,133,132.70000000000013
Full sample,0.99,2654,2016-01-05,2026-07-31,11487.287732142264,15748.263573674873,27,26.540000000000024
