model,n00,n01,n10,n11,probability_after_no_exception,probability_after_exception,christoffersen_independence_lr,christoffersen_independence_p_value,reject_independence_at_5_percent
Historical Simulation,2325,37,37,4,0.015664690939881456,0.0975609756097561,7.9087454069988326,0.004919637657768087,True
Parametric Normal,2316,41,41,5,0.017394993635977938,0.10869565217391304,9.910964002926562,0.0016429703751700366,True
