date,actual_pnl_eur,historical_var_eur,parametric_var_eur,historical_exception,parametric_exception
2016-12-30,1654.6116556362012,9212.82107821853,7807.960270092483,False,False
2017-01-03,2194.1066211462858,9212.82107821853,7809.52277826114,False,False
2017-01-04,2403.266441930962,9212.82107821853,7812.115598170974,False,False
2017-01-05,8378.931017735753,9212.82107821853,7806.1157348736215,False,False
2017-01-06,-965.6878864533037,9212.82107821853,7897.9572938725305,False,False
2017-01-09,1420.9026607935048,9212.82107821853,7874.053660312307,False,False
2017-01-10,1519.8296909485043,9212.82107821853,7855.7627523281835,False,False
2017-01-11,1497.0796939716258,9212.82107821853,7845.138774737984,False,False
2017-01-12,109.74824849854792,9212.82107821853,7846.722780524946,False,False
2017-01-13,-97.59417945348633,9212.82107821853,7846.743019350348,False,False
2017-01-17,4152.76998823188,9212.82107821853,7846.762911194079,False,False
2017-01-18,-2789.3815003970476,9212.82107821853,7862.000066226116,False,False
2017-01-19,-4404.867330015872,9212.82107821853,7872.225138733833,False,False
2017-01-20,1286.7718665138138,9212.82107821853,7891.540913064526,False,False
2017-01-23,4329.287418059768,9212.82107821853,7887.500869760333,False,False
2017-01-24,-248.23649961142064,9212.82107821853,7860.482252887185,False,False
2017-01-25,-3433.9271506367404,9212.82107821853,7853.783309376079,False,False
2017-01-26,-207.6888795625564,9212.82107821853,7871.748151170727,False,False
2017-01-27,-289.6930478464287,9212.82107821853,7745.353136493442,False,False
2017-01-30,-1238.2224020792312,9212.82107821853,7741.682633850127,False,False
2017-01-31,4044.4871015587523,9212.82107821853,7737.421796973567,False,False
2017-02-01,-432.00531132137075,9212.82107821853,7757.218690871326,False,False
2017-02-02,198.10799394465164,9212.82107821853,7696.890899474385,False,False
2017-02-03,1867.2561926230235,9212.82107821853,7696.81478187036,False,False
2017-02-06,3790.700271860969,9212.82107821853,7678.677101066091,False,False
2017-02-07,1173.3682348840423,9212.82107821853,7696.7311619915745,False,False
2017-02-08,4126.281827113954,9212.82107821853,7659.5615803401,False,False
2017-02-09,-2854.3250796192297,9212.82107821853,7652.388570087618,False,False
2017-02-10,580.3875963221517,9212.82107821853,7665.05684749856,False,False
2017-02-13,-1336.6632392225188,9212.82107821853,7610.770431457378,False,False
2017-02-14,-1398.4789915060023,9212.82107821853,7604.790363860299,False,False
2017-02-15,210.48297466964567,9212.82107821853,7560.7014520658195,False,False
2017-02-16,2780.519254008396,9212.82107821853,7558.977949748821,False,False
2017-02-17,2889.7657282066334,9212.82107821853,7567.947851129399,False,False
2017-02-21,-123.28763007168891,9212.82107821853,7575.353886213877,False,False
2017-02-22,-787.8571654234725,9212.82107821853,7574.318714571368,False,False
