statistic,degrees_of_freedom,scale_eur
Minimum,2.3527257637315047,2462.0114490682818
25th percentile,6.422250286099589,2826.662370066505
Median,9.81146794062363,3293.3088797859773
75th percentile,15.334709956198532,4083.778425660974
Maximum,8107632576146.369,6066.849107915377
